date,CE01ISSM,CE02SHSM,CE07SHSM,CP03ISSM,GA01SUMO,GI03FLMA
2015-03-04 00:00:00,NaN,NaN,NaN,NaN,NaN,34.9312
2015-03-04 01:00:00,NaN,NaN,NaN,NaN,NaN,34.9314
2015-03-04 02:00:00,NaN,NaN,NaN,NaN,NaN,34.9336
2015-03-04 03:00:00,NaN,NaN,NaN,NaN,NaN,34.9346
2015-03-04 04:00:00,NaN,NaN,NaN,NaN,NaN,34.9341
2015-03-04 05:00:00,NaN,NaN,NaN,NaN,NaN,34.9327
2015-03-04 06:00:00,NaN,NaN,NaN,NaN,NaN,34.9337
2015-03-04 07:00:00,NaN,NaN,NaN,NaN,NaN,34.9308
2015-03-04 08:00:00,NaN,NaN,NaN,NaN,NaN,34.9253
2015-03-04 09:00:00,NaN,NaN,NaN,NaN,NaN,34.9212
2015-03-04 10:00:00,NaN,NaN,NaN,NaN,NaN,34.917
2015-03-04 11:00:00,NaN,NaN,NaN,NaN,NaN,34.9143
2015-03-04 12:00:00,NaN,NaN,NaN,NaN,NaN,34.9177
2015-03-04 13:00:00,NaN,NaN,NaN,NaN,NaN,34.9213
2015-03-04 14:00:00,NaN,NaN,NaN,NaN,NaN,34.925
2015-03-04 15:00:00,NaN,NaN,NaN,NaN,NaN,34.9193
2015-03-04 16:00:00,NaN,NaN,NaN,NaN,NaN,34.9148
2015-03-04 17:00:00,NaN,NaN,NaN,NaN,NaN,34.936
2015-03-04 18:00:00,NaN,NaN,NaN,NaN,NaN,34.9458
2015-03-04 19:00:00,NaN,NaN,NaN,NaN,NaN,34.9372
2015-03-04 20:00:00,NaN,NaN,NaN,NaN,NaN,34.9307
2015-03-04 21:00:00,NaN,NaN,NaN,NaN,NaN,34.9295
2015-03-04 22:00:00,NaN,NaN,NaN,NaN,NaN,34.9248
2015-03-04 23:00:00,NaN,NaN,NaN,NaN,NaN,34.9249
2015-03-05 00:00:00,NaN,NaN,NaN,NaN,NaN,34.927
2015-03-05 01:00:00,NaN,NaN,NaN,NaN,NaN,34.9274
2015-03-05 02:00:00,NaN,NaN,NaN,NaN,NaN,34.9293
2015-03-05 03:00:00,NaN,NaN,NaN,NaN,NaN,34.9288
2015-03-05 04:00:00,NaN,NaN,NaN,NaN,NaN,34.9277
2015-03-05 05:00:00,NaN,NaN,NaN,NaN,NaN,34.9415
2015-03-05 06:00:00,NaN,NaN,NaN,NaN,NaN,34.9399
2015-03-05 07:00:00,NaN,NaN,NaN,NaN,NaN,34.9427
2015-03-05 08:00:00,NaN,NaN,NaN,NaN,NaN,34.9429
2015-03-05 09:00:00,NaN,NaN,NaN,NaN,NaN,34.9437
2015-03-05 10:00:00,NaN,NaN,NaN,NaN,NaN,34.9449
2015-03-05 11:00:00,NaN,NaN,NaN,NaN,NaN,34.9446
2015-03-05 12:00:00,NaN,NaN,NaN,NaN,NaN,34.9448
2015-03-05 13:00:00,NaN,NaN,NaN,NaN,NaN,34.9452
2015-03-05 14:00:00,NaN,NaN,NaN,NaN,NaN,34.9432
2015-03-05 15:00:00,NaN,NaN,NaN,NaN,NaN,34.9445
2015-03-05 16:00:00,NaN,NaN,NaN,NaN,NaN,34.9445
2015-03-05 17:00:00,NaN,NaN,NaN,NaN,NaN,34.9428
2015-03-05 18:00:00,NaN,NaN,NaN,NaN,NaN,34.9426
2015-03-05 19:00:00,NaN,NaN,NaN,NaN,NaN,34.9426
2015-03-05 20:00:00,NaN,NaN,NaN,NaN,NaN,34.9418
