date,pCO2,pH
2015-12-20 07:00:00,324.019,8.06614
2015-12-20 08:00:00,322.573,8.06672
2015-12-20 09:00:00,324.107,8.0654
2015-12-20 10:00:00,328.186,8.06261
2015-12-20 11:00:00,323.447,8.04471
2015-12-20 12:00:00,323.762,8.061
2015-12-20 13:00:00,323.171,8.06052
2015-12-20 15:00:00,321.141,8.04488
2015-12-20 16:00:00,323.525,8.05912
2015-12-20 17:00:00,322.563,8.05171
2015-12-20 18:00:00,322.846,8.03757
2015-12-20 19:00:00,326.904,8.07063
2015-12-20 20:00:00,322.915,8.05753
2015-12-20 22:00:00,324.12,8.05966
2015-12-20 23:00:00,323.268,8.06179
2015-12-22 02:00:00,323.911,8.06669
2015-12-24 18:00:00,327.017,8.0832
2015-12-25 03:00:00,325.402,8.08393
2015-12-25 16:00:00,327.974,8.05667
2015-12-25 18:00:00,323.84,8.07042
2015-12-25 19:00:00,324.238,8.07172
2015-12-25 21:00:00,324.343,8.06575
2015-12-25 22:00:00,323.896,8.04838
2015-12-25 23:00:00,323.485,8.07566
2015-12-26 00:00:00,324.05,8.07016
2015-12-26 01:00:00,326.898,8.05806
2015-12-26 02:00:00,323.46,8.07278
2015-12-26 03:00:00,324.078,8.06273
2015-12-26 04:00:00,325.632,8.06975
2015-12-26 05:00:00,323.874,8.06753
2015-12-26 06:00:00,324.368,8.07193
2015-12-26 07:00:00,324.131,8.0749
2015-12-26 08:00:00,325.416,8.07702
2015-12-26 09:00:00,325.416,8.07855
2015-12-26 10:00:00,328.798,8.07667
2015-12-26 11:00:00,324.546,8.07623
2015-12-26 12:00:00,325.001,8.07602
2015-12-26 13:00:00,326.018,8.07452
2015-12-26 14:00:00,324.702,8.07518
2015-12-26 15:00:00,324.355,8.07692
2015-12-26 16:00:00,323.138,8.07648
2015-12-26 17:00:00,322.558,8.07914
2015-12-26 18:00:00,323.579,8.10198
2015-12-26 19:00:00,326.343,8.08843
2015-12-26 20:00:00,322.439,8.0598
2015-12-26 21:00:00,322.76,8.08267
2015-12-26 22:00:00,322.632,8.07443
2015-12-26 23:00:00,321.669,8.06707
2015-12-27 00:00:00,322.218,8.06237
2015-12-27 01:00:00,321.721,8.07245
2015-12-27 02:00:00,322.119,8.06709
2015-12-27 03:00:00,321.743,8.07227
2015-12-27 04:00:00,326.245,8.05191
2015-12-27 05:00:00,322.031,8.0979
2015-12-27 06:00:00,323.085,8.05998
