date,pressure,temperature,salinity,index,site
2015-06-02 00:04:21,43,13.3923,35.2948,153,CP02PMCI
2015-06-02 00:04:21,44,13.392,35.2952,153,CP02PMCI
2015-06-02 00:04:21,45,13.3933,35.2953,153,CP02PMCI
2015-06-02 00:04:21,46,13.3939,35.2956,153,CP02PMCI
2015-06-02 00:04:21,47,13.3936,35.2965,153,CP02PMCI
2015-06-02 00:04:21,48,13.4,35.2993,153,CP02PMCI
2015-06-02 00:04:21,49,13.4584,35.3204,153,CP02PMCI
2015-06-02 00:04:21,50,13.4634,35.3215,153,CP02PMCI
2015-06-02 00:04:21,51,13.4845,35.3268,153,CP02PMCI
2015-06-02 00:04:21,52,13.4773,35.3302,153,CP02PMCI
2015-06-02 00:04:21,53,13.5174,35.3488,153,CP02PMCI
2015-06-02 00:04:21,54,13.5655,35.3723,153,CP02PMCI
2015-06-02 00:04:21,55,13.5725,35.3787,153,CP02PMCI
2015-06-02 00:04:21,56,13.516,35.3829,153,CP02PMCI
2015-06-02 00:04:21,57,13.4643,35.378,153,CP02PMCI
2015-06-02 00:04:21,58,13.2785,35.3472,153,CP02PMCI
2015-06-02 00:04:21,59,13.2399,35.3405,153,CP02PMCI
2015-06-02 00:04:21,60,13.1866,35.3377,153,CP02PMCI
2015-06-02 00:04:21,61,13.1226,35.3322,153,CP02PMCI
2015-06-02 00:04:21,62,13.0583,35.3242,153,CP02PMCI
2015-06-02 00:04:21,63,13.0506,35.3249,153,CP02PMCI
2015-06-02 00:04:21,64,13.0472,35.3254,153,CP02PMCI
2015-06-02 00:04:21,65,13.0467,35.3288,153,CP02PMCI
2015-06-02 00:04:21,66,13.0768,35.3384,153,CP02PMCI
2015-06-02 00:04:21,67,13.2212,35.3723,153,CP02PMCI
2015-06-02 00:04:21,68,13.326,35.4155,153,CP02PMCI
2015-06-02 00:04:21,69,13.3137,35.41,153,CP02PMCI
2015-06-02 00:04:21,70,13.2722,35.4027,153,CP02PMCI
2015-06-02 00:04:21,71,13.2152,35.395,153,CP02PMCI
2015-06-02 00:04:21,72,13.1282,35.385,153,CP02PMCI
2015-06-02 00:04:21,73,13.0908,35.3804,153,CP02PMCI
2015-06-02 00:04:21,74,12.9909,35.3676,153,CP02PMCI
2015-06-02 00:04:21,75,12.9559,35.3644,153,CP02PMCI
2015-06-02 00:04:21,76,12.8325,35.3581,153,CP02PMCI
2015-06-02 00:04:21,77,12.8991,35.3787,153,CP02PMCI
2015-06-02 00:04:21,78,12.9802,35.4056,153,CP02PMCI
2015-06-02 00:04:21,79,12.9781,35.4063,153,CP02PMCI
2015-06-02 00:04:21,80,12.9671,35.4065,153,CP02PMCI
2015-06-02 00:04:21,81,12.9836,35.4147,153,CP02PMCI
2015-06-02 00:04:21,82,12.9785,35.4225,153,CP02PMCI
2015-06-02 00:04:21,83,13.2689,35.5212,153,CP02PMCI
2015-06-02 00:04:21,84,13.2875,35.5325,153,CP02PMCI
2015-06-02 00:04:21,85,13.532,35.6002,153,CP02PMCI
2015-06-02 00:04:21,86,13.5469,35.5991,153,CP02PMCI
2015-06-02 00:04:21,87,13.5107,35.6089,153,CP02PMCI
2015-06-02 00:04:21,88,13.4409,35.6003,153,CP02PMCI
2015-06-02 00:04:21,89,13.3898,35.5871,153,CP02PMCI
2015-06-02 00:04:21,90,13.3497,35.5754,153,CP02PMCI
2015-06-02 00:04:21,91,13.1765,35.5533,153,CP02PMCI
2015-06-02 00:04:21,92,13.0848,35.5362,153,CP02PMCI
2015-06-02 00:04:21,93,13.0183,35.5236,153,CP02PMCI
2015-06-02 00:04:21,94,12.8169,35.4861,153,CP02PMCI
2015-06-02 00:04:21,95,12.6421,35.4756,153,CP02PMCI
2015-06-02 00:04:21,96,12.4666,35.451,153,CP02PMCI
2015-06-02 00:04:21,97,12.3956,35.4479,153,CP02PMCI
