date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-05-05 01:00:00,3.8478,2.7813,NaN,0.5929
2015-05-05 02:00:00,4.1019,3.3142,NaN,NaN
2015-05-05 03:00:00,3.6058,2.8543,NaN,NaN
2015-05-05 04:00:00,3.3759,2.5185,NaN,NaN
2015-05-05 05:00:00,3.2549,2.409,NaN,NaN
2015-05-05 06:00:00,2.5168,2.4382,NaN,NaN
2015-05-05 07:00:00,2.3716,2.847,NaN,NaN
2015-05-05 08:00:00,2.3353,2.3068,NaN,NaN
2015-05-05 09:00:00,2.6015,2.2776,NaN,NaN
2015-05-05 10:00:00,2.8919,2.4163,NaN,NaN
2015-05-05 11:00:00,2.2143,2.3798,NaN,NaN
2015-05-05 12:00:00,2.7951,2.2119,NaN,NaN
2015-05-05 13:00:00,2.7225,2.4528,NaN,NaN
2015-05-05 14:00:00,3.0492,3.2047,NaN,NaN
2015-05-05 15:00:00,3.2549,3.1682,NaN,NaN
2015-05-05 16:00:00,2.9282,2.117,NaN,NaN
2015-05-05 17:00:00,2.8919,2.2484,NaN,NaN
2015-05-05 18:00:00,2.6015,2.5039,NaN,NaN
2015-05-05 19:00:00,2.5047,1.2994,NaN,NaN
2015-05-05 20:00:00,2.2264,2.5258,NaN,NaN
2015-05-05 21:00:00,3.5211,1.0439,NaN,NaN
2015-05-05 22:00:00,2.3837,1.8323,NaN,NaN
2015-05-05 23:00:00,NaN,1.4527,NaN,NaN
2015-05-06 00:00:00,2.5894,2.3871,NaN,NaN
2015-05-06 01:00:00,2.3837,2.263,NaN,NaN
2015-05-06 02:00:00,2.6015,2.5696,NaN,NaN
2015-05-06 03:00:00,3.0129,2.5696,NaN,NaN
2015-05-06 04:00:00,2.5652,2.3068,NaN,NaN
2015-05-06 05:00:00,2.6499,2.4163,NaN,NaN
2015-05-06 06:00:00,2.5531,2.409,NaN,NaN
2015-05-06 07:00:00,2.5289,2.7229,NaN,NaN
2015-05-06 08:00:00,2.6015,2.5112,NaN,NaN
2015-05-06 09:00:00,2.4926,2.2922,NaN,NaN
2015-05-06 10:00:00,2.5168,2.2703,NaN,NaN
2015-05-06 11:00:00,2.6862,2.4017,NaN,NaN
2015-05-06 12:00:00,2.9766,2.4747,NaN,NaN
2015-05-06 13:00:00,2.6257,2.1462,NaN,NaN
