time,Wind Speed,Current Speed,Barometric Pressure,Precipitation,Air Temperature,Rain,Max Wave Height,Peak Wave Period,Significant Wave Height,Significant Wave Period
2019-02-01T00:00:00Z,9.86,0.37,1026.703,22.81,-4.69,0.00,2.78,7.4,1.95,6
2019-02-01T01:00:00Z,10.37,0.37,1026.935,22.78,-4.20,0.03,3.43,6.9,2.19,6
2019-02-01T02:00:00Z,10.16,0.37,1027.131,22.79,-4.07,0.05,3.72,6.7,2.33,6.3
2019-02-01T03:00:00Z,10.09,0.37,1027.252,22.78,-3.99,0.04,3.13,7.1,2.07,6.3
2019-02-01T04:00:00Z,10.69,0.37,1027.140,22.76,-4.12,0.01,4.01,7.1,2.3,6.2
2019-02-01T05:00:00Z,11.38,0.37,1027.282,22.74,-4.38,0.00,3.79,7.4,2.42,6.5
2019-02-01T06:00:00Z,9.91,0.37,1027.541,22.71,-4.72,0.01,4.46,7.4,2.46,6.6
2019-02-01T07:00:00Z,10.16,0.37,1027.967,22.69,-4.90,0.03,3.57,7.4,2.35,6.6
2019-02-01T08:00:00Z,9.04,0.37,1027.913,22.66,-4.97,0.02,4.51,7.1,2.51,6.5
2019-02-01T09:00:00Z,8.83,0.37,1028.202,22.63,-4.91,0.02,,,,
2019-02-01T10:00:00Z,8.51,0.37,1028.360,22.65,-4.70,0.05,4.03,7.4,2.25,6.4
2019-02-01T11:00:00Z,8.02,0.37,1028.447,22.65,-4.61,0.05,4,7.7,2.44,6.7
2019-02-01T12:00:00Z,7.79,0.37,1028.761,22.64,-4.43,0.01,3.63,7.1,2.15,6.7
2019-02-01T13:00:00Z,7.52,0.37,1029.403,22.62,-4.23,0.01,3.24,6.9,1.89,6
2019-02-01T14:00:00Z,7.29,0.37,1029.582,22.62,-4.09,0.03,3.04,6.9,1.81,5.8
2019-02-01T15:00:00Z,6.58,0.37,1029.448,22.62,-4.02,0.06,3.11,6.7,1.81,6.1
2019-02-01T16:00:00Z,6.88,0.37,1028.936,22.59,-3.91,0.00,2.51,6.7,1.62,5.8
2019-02-01T17:00:00Z,6.97,0.37,1028.036,22.57,-3.74,0.03,2.42,6.3,1.46,5.7
2019-02-01T18:00:00Z,6.90,0.37,1027.279,22.56,-3.60,0.05,2.59,6.3,1.44,5.4
2019-02-01T19:00:00Z,6.39,0.37,1026.722,22.53,-3.52,0.03,2.57,6.1,1.43,5.4
2019-02-01T20:00:00Z,6.72,0.37,1026.311,22.50,-3.24,0.05,,,,
2019-02-01T21:00:00Z,7.00,0.37,1025.987,22.43,-2.92,0.00,1.86,6.3,1.16,4.9
2019-02-01T22:00:00Z,6.86,0.37,1026.118,22.38,-2.60,0.01,1.86,5.3,1.12,4.8
2019-02-01T23:00:00Z,6.47,0.37,1026.205,22.33,-2.39,0.04,1.68,5.3,1,4.6
2019-02-02T00:00:00Z,6.32,0.37,1026.021,22.29,-2.30,0.00,1.39,5.3,0.97,4.6
2019-02-02T01:00:00Z,5.72,0.37,1025.972,22.25,,0.04,1.27,5,0.89,4.4
2019-02-02T02:00:00Z,6.16,0.37,1026.187,22.21,,0.04,1.57,5.1,0.96,4.4
2019-02-02T03:00:00Z,6.30,0.37,1025.951,22.19,,0.05,1.45,4.9,0.79,4.1
2019-02-02T04:00:00Z,6.96,0.37,1026.244,22.17,,0.04,1.36,4.4,0.87,4.1
2019-02-02T05:00:00Z,6.88,0.37,1026.141,22.14,-2.31,0.05,1.9,4.7,0.96,4.1
2019-02-02T06:00:00Z,6.20,0.37,1025.961,22.14,,0.04,1.34,4.5,0.9,4.1
2019-02-02T07:00:00Z,6.28,0.37,1026.101,22.11,,0.02,1.7,4.4,0.89,4.1
2019-02-02T08:00:00Z,6.19,0.37,1026.126,22.11,,0.05,,,,
2019-02-02T09:00:00Z,5.26,0.37,1026.117,22.09,,0.04,,,,
2019-02-02T10:00:00Z,4.66,0.37,1025.892,22.06,,0.01,,,,
2019-02-02T11:00:00Z,3.94,0.37,1025.868,22.04,-2.69,0.04,1.17,4.3,0.83,4.1
2019-02-02T12:00:00Z,4.13,0.37,1026.008,22.01,,0.02,,,,
2019-02-02T13:00:00Z,3.35,0.37,1026.108,21.97,,0.02,,,,
2019-02-02T14:00:00Z,3.28,0.37,1026.111,21.91,,0.02,,,,
2019-02-02T15:00:00Z,,0.37,1025.735,21.89,,0.05,1.59,4.4,0.83,4.4
2019-02-02T16:00:00Z,4.57,0.37,1024.552,21.89,-0.54,0.03,,,,
2019-02-02T17:00:00Z,7.39,0.37,1022.729,21.89,0.18,0.04,1.15,4.7,0.69,4.2
2019-02-02T18:00:00Z,7.72,0.37,1021.493,21.84,0.94,0.00,1.18,4.2,0.74,3.8
2019-02-02T19:00:00Z,8.93,0.37,1020.977,21.80,1.72,0.06,1.5,4.3,0.93,3.7
2019-02-02T20:00:00Z,9.78,0.37,1020.441,21.76,2.52,0.06,1.67,4.1,1.05,4.1
2019-02-02T21:00:00Z,9.93,0.37,1019.600,21.73,2.72,0.04,2.31,4.9,1.34,4.5
2019-02-02T22:00:00Z,10.54,0.37,1018.744,21.68,3.16,0.03,2.66,5.3,1.49,4.8
2019-02-02T23:00:00Z,11.45,0.37,1017.909,21.62,4.01,0.02,3.14,5.3,1.95,5.2
2019-02-03T00:00:00Z,12.15,0.37,1017.684,21.57,4.55,0.01,3.49,5.9,2.03,5.6
2019-02-03T01:00:00Z,11.43,0.37,1017.573,21.52,4.71,0.02,3.79,6.5,2.59,6.1
2019-02-03T02:00:00Z,11.44,0.37,1017.776,21.50,5.13,0.03,4.51,6.7,2.75,6.1
2019-02-03T03:00:00Z,11.56,0.37,1017.830,21.47,5.29,0.03,4.23,6.9,2.73,6.6
2019-02-03T04:00:00Z,11.47,0.37,1018.116,21.42,5.27,0.03,4.49,7.4,2.76,6.5
2019-02-03T05:00:00Z,10.65,0.37,1018.449,21.37,5.23,0.02,4.61,7.4,2.72,6.6
2019-02-03T06:00:00Z,9.76,0.37,1018.789,21.33,5.19,0.05,4.38,7.7,2.88,7
2019-02-03T07:00:00Z,8.54,0.37,1019.304,21.28,5.21,0.03,4.69,8.3,2.58,7
2019-02-03T08:00:00Z,7.65,0.37,1019.628,21.23,5.25,0.03,4.13,8,2.55,6.9
2019-02-03T09:00:00Z,6.80,0.37,1019.651,21.21,5.25,0.02,4.76,7.7,2.39,7
2019-02-03T10:00:00Z,5.92,0.37,1019.818,21.16,5.09,0.01,3.12,7.7,2.19,6.8
2019-02-03T11:00:00Z,4.91,0.37,1020.278,21.14,4.83,0.05,3.08,7.7,1.89,6.4
2019-02-03T12:00:00Z,3.28,0.37,1021.032,21.13,4.95,0.09,3.03,7.4,1.8,6.5
2019-02-03T13:00:00Z,2.37,0.37,1021.648,21.13,5.38,0.04,2.64,6.9,1.7,6.4
2019-02-03T14:00:00Z,0.87,0.37,1021.717,21.06,5.85,0.02,2.71,6.9,1.46,6
2019-02-03T15:00:00Z,0.94,0.37,1022.385,21.01,6.19,0.03,2.09,6.5,1.33,6
2019-02-03T16:00:00Z,1.68,0.37,1022.301,21.02,6.06,0.09,2.26,6.9,1.37,6
2019-02-03T17:00:00Z,2.41,0.37,1021.867,21.04,6.11,0.06,2.08,5.9,1.07,5.5
2019-02-03T18:00:00Z,2.21,0.37,1021.529,21.03,6.32,0.09,1.74,5.9,0.98,5.2
2019-02-03T19:00:00Z,2.86,0.37,1021.321,21.02,6.36,0.06,1.6,5.6,1.03,5.3
