time,month,pressure_bin,seawater_temperature,practical_salinity,density,site
2019-03-01,3,215,12.03,35.55,1027.97,CP
2019-03-01,3,225,11.73,35.51,1028.05,CP
2019-03-01,3,235,11.42,35.47,1028.12,CP
2019-03-01,3,245,11.10,35.43,1028.20,CP
2019-03-01,3,255,10.78,35.39,1028.27,CP
2019-03-01,3,265,10.44,35.36,1028.35,CP
2019-03-01,3,275,10.14,35.32,1028.42,CP
2019-03-01,3,285,9.85,35.29,1028.49,CP
2019-03-01,3,295,9.58,35.26,1028.57,CP
2019-03-01,3,305,9.33,35.24,1028.64,CP
2019-03-01,3,315,9.11,35.23,1028.71,CP
2019-03-01,3,325,8.89,35.21,1028.78,CP
2019-03-01,3,335,8.67,35.20,1028.85,CP
2019-03-01,3,345,8.46,35.19,1028.92,CP
2019-03-01,3,355,8.27,35.18,1028.99,CP
2019-03-01,3,365,8.08,35.17,1029.06,CP
2019-03-01,3,375,7.91,35.16,1029.12,CP
2019-03-01,3,385,7.74,35.16,1029.19,CP
2019-03-01,3,395,7.56,35.15,1029.26,CP
2019-03-01,3,405,7.44,35.14,1029.33,CP
2019-03-01,3,415,7.15,35.13,1029.38,CP
2019-04-01,4,25,8.96,33.73,1026.22,CP
2019-04-01,4,35,9.20,33.93,1026.37,CP
2019-04-01,4,45,9.86,34.26,1026.58,CP
2019-04-01,4,55,10.52,34.51,1026.71,CP
2019-04-01,4,65,11.19,34.76,1026.84,CP
2019-04-01,4,75,11.89,35.01,1026.95,CP
2019-04-01,4,85,12.34,35.17,1027.04,CP
2019-04-01,4,95,12.72,35.31,1027.12,CP
2019-04-01,4,105,12.95,35.40,1027.19,CP
2019-04-01,4,115,13.12,35.47,1027.25,CP
2019-04-01,4,125,13.25,35.53,1027.31,CP
2019-04-01,4,135,13.28,35.57,1027.38,CP
2019-04-01,4,145,13.28,35.60,1027.45,CP
2019-04-01,4,155,13.19,35.61,1027.52,CP
2019-04-01,4,165,13.06,35.61,1027.60,CP
2019-04-01,4,175,12.83,35.60,1027.68,CP
2019-04-01,4,185,12.55,35.58,1027.76,CP
2019-04-01,4,195,12.28,35.55,1027.84,CP
2019-04-01,4,205,12.04,35.53,1027.90,CP
2019-04-01,4,215,11.53,35.47,1028.01,CP
2019-04-01,4,225,11.24,35.44,1028.09,CP
2019-04-01,4,235,10.97,35.41,1028.16,CP
2019-04-01,4,245,10.69,35.38,1028.23,CP
2019-04-01,4,255,10.36,35.34,1028.31,CP
2019-04-01,4,265,10.12,35.32,1028.38,CP
2019-04-01,4,275,9.87,35.29,1028.45,CP
2019-04-01,4,285,9.61,35.27,1028.52,CP
2019-04-01,4,295,9.38,35.25,1028.59,CP
2019-04-01,4,305,9.14,35.23,1028.66,CP
2019-04-01,4,315,8.91,35.22,1028.73,CP
2019-04-01,4,325,8.69,35.20,1028.80,CP
2019-04-01,4,335,8.47,35.19,1028.87,CP
2019-04-01,4,345,8.28,35.18,1028.94,CP
2019-04-01,4,355,8.10,35.17,1029.01,CP
2019-04-01,4,365,7.90,35.16,1029.08,CP
2019-04-01,4,375,7.72,35.15,1029.14,CP
2019-04-01,4,385,7.54,35.14,1029.21,CP
2019-04-01,4,395,7.38,35.13,1029.27,CP
2019-04-01,4,405,7.23,35.13,1029.35,CP
2019-04-01,4,415,7.09,35.12,1029.38,CP
2019-05-01,5,25,11.58,34.14,1026.08,CP
2019-05-01,5,35,11.62,34.31,1026.23,CP
2019-05-01,5,45,11.94,34.60,1026.46,CP
2019-05-01,5,55,11.88,34.74,1026.65,CP
2019-05-01,5,65,12.35,34.99,1026.80,CP
2019-05-01,5,75,12.83,35.22,1026.93,CP
2019-05-01,5,85,13.08,35.34,1027.02,CP
2019-05-01,5,95,13.18,35.40,1027.10,CP
2019-05-01,5,105,13.21,35.44,1027.16,CP
2019-05-01,5,115,13.28,35.49,1027.23,CP
2019-05-01,5,125,13.34,35.54,1027.30,CP
2019-05-01,5,135,13.41,35.59,1027.37,CP
2019-05-01,5,145,13.45,35.63,1027.44,CP
2019-05-01,5,155,13.41,35.65,1027.51,CP
2019-05-01,5,165,13.30,35.65,1027.58,CP
2019-05-01,5,175,13.10,35.64,1027.65,CP
2019-05-01,5,185,12.89,35.62,1027.73,CP
2019-05-01,5,195,12.63,35.60,1027.80,CP
2019-05-01,5,205,12.38,35.57,1027.87,CP
2019-05-01,5,215,12.01,35.52,1027.96,CP
2019-05-01,5,225,11.69,35.48,1028.03,CP
2019-05-01,5,235,11.37,35.44,1028.11,CP
2019-05-01,5,245,11.11,35.41,1028.18,CP
2019-05-01,5,255,10.80,35.37,1028.25,CP
2019-05-01,5,265,10.49,35.33,1028.32,CP
2019-05-01,5,275,10.24,35.30,1028.39,CP
2019-05-01,5,285,9.95,35.27,1028.46,CP
2019-05-01,5,295,9.69,35.25,1028.53,CP
2019-05-01,5,305,9.47,35.23,1028.60,CP
2019-05-01,5,315,9.27,35.21,1028.67,CP
2019-05-01,5,325,9.03,35.20,1028.74,CP
2019-05-01,5,335,8.81,35.19,1028.82,CP
2019-05-01,5,345,8.59,35.18,1028.89,CP
2019-05-01,5,355,8.35,35.16,1028.96,CP
2019-05-01,5,365,8.12,35.15,1029.04,CP
2019-05-01,5,375,7.93,35.14,1029.11,CP
2019-05-01,5,385,7.74,35.14,1029.17,CP
2019-05-01,5,395,7.59,35.13,1029.24,CP
2019-05-01,5,405,7.42,35.12,1029.31,CP
2019-05-01,5,415,7.33,35.12,1029.34,CP
2019-06-01,6,25,19.23,35.16,1025.19,CP
2019-06-01,6,35,18.42,35.27,1025.50,CP
2019-06-01,6,45,16.90,35.35,1025.99,CP
2019-06-01,6,55,15.76,35.38,1026.33,CP
2019-06-01,6,65,15.05,35.43,1026.58,CP
2019-06-01,6,75,14.67,35.50,1026.76,CP
2019-06-01,6,85,14.74,35.66,1026.91,CP
2019-06-01,6,95,14.65,35.72,1027.03,CP
2019-06-01,6,105,14.53,35.75,1027.12,CP
2019-06-01,6,115,14.34,35.74,1027.20,CP
2019-06-01,6,125,14.20,35.74,1027.28,CP
2019-06-01,6,135,14.17,35.77,1027.35,CP
2019-06-01,6,145,14.10,35.78,1027.42,CP
2019-06-01,6,155,14.08,35.80,1027.48,CP
2019-06-01,6,165,14.09,35.83,1027.55,CP
2019-06-01,6,175,13.96,35.83,1027.61,CP
2019-06-01,6,185,13.67,35.78,1027.69,CP
2019-06-01,6,195,13.37,35.74,1027.76,CP
2019-06-01,6,205,13.08,35.70,1027.82,CP
2019-06-01,6,215,12.62,35.62,1027.91,CP
2019-06-01,6,225,12.28,35.57,1027.99,CP
2019-06-01,6,235,11.94,35.53,1028.06,CP
2019-06-01,6,245,11.61,35.48,1028.14,CP
2019-06-01,6,255,11.25,35.44,1028.22,CP
2019-06-01,6,265,10.93,35.40,1028.29,CP
2019-06-01,6,275,10.70,35.37,1028.36,CP
2019-06-01,6,285,10.40,35.33,1028.43,CP
2019-06-01,6,295,10.15,35.30,1028.50,CP
2019-06-01,6,305,9.90,35.28,1028.56,CP
2019-06-01,6,315,9.64,35.25,1028.64,CP
2019-06-01,6,325,9.40,35.23,1028.70,CP
2019-06-01,6,335,9.17,35.21,1028.77,CP
2019-06-01,6,345,8.96,35.19,1028.84,CP
2019-06-01,6,355,8.73,35.18,1028.91,CP
2019-06-01,6,365,8.50,35.17,1028.99,CP
2019-06-01,6,375,8.29,35.16,1029.06,CP
2019-06-01,6,385,8.08,35.15,1029.13,CP
2019-06-01,6,395,7.87,35.14,1029.20,CP
2019-06-01,6,405,7.65,35.13,1029.28,CP
2019-06-01,6,415,7.51,35.13,1029.33,CP
2019-07-01,7,25,17.24,34.76,1025.33,CP
2019-07-01,7,35,16.37,34.91,1025.68,CP
2019-07-01,7,45,14.35,34.83,1026.12,CP
2019-07-01,7,55,13.84,34.97,1026.41,CP
2019-07-01,7,65,14.28,35.29,1026.62,CP
2019-07-01,7,75,14.77,35.59,1026.80,CP
2019-07-01,7,85,14.87,35.72,1026.93,CP
2019-07-01,7,95,14.72,35.77,1027.05,CP
2019-07-01,7,105,14.44,35.77,1027.15,CP
2019-07-01,7,115,14.19,35.75,1027.24,CP
2019-07-01,7,125,13.97,35.73,1027.32,CP
2019-07-01,7,135,13.85,35.74,1027.40,CP
2019-07-01,7,145,13.64,35.73,1027.48,CP
2019-07-01,7,155,13.43,35.71,1027.55,CP
2019-07-01,7,165,13.11,35.68,1027.63,CP
2019-07-01,7,175,12.77,35.63,1027.71,CP
2019-07-01,7,185,12.42,35.59,1027.79,CP
2019-07-01,7,195,12.09,35.54,1027.87,CP
2019-07-01,7,205,11.78,35.50,1027.94,CP
2019-07-01,7,215,11.44,35.46,1028.02,CP
2019-07-01,7,225,11.15,35.42,1028.09,CP
2019-07-01,7,235,10.86,35.39,1028.16,CP
2019-07-01,7,245,10.64,35.36,1028.23,CP
2019-07-01,7,255,10.39,35.33,1028.29,CP
2019-07-01,7,265,10.14,35.31,1028.36,CP
2019-07-01,7,275,9.85,35.27,1028.44,CP
2019-07-01,7,285,9.65,35.26,1028.50,CP
2019-07-01,7,295,9.42,35.24,1028.57,CP
2019-07-01,7,305,9.22,35.22,1028.64,CP
2019-07-01,7,315,9.01,35.20,1028.71,CP
2019-07-01,7,325,8.81,35.19,1028.77,CP
2019-07-01,7,335,8.61,35.18,1028.84,CP
2019-07-01,7,345,8.42,35.17,1028.91,CP
2019-07-01,7,355,8.24,35.16,1028.98,CP
2019-07-01,7,365,8.05,35.15,1029.05,CP
2019-07-01,7,375,7.87,35.14,1029.11,CP
2019-07-01,7,385,7.70,35.13,1029.18,CP
2019-07-01,7,395,7.53,35.13,1029.25,CP
2019-07-01,7,405,7.37,35.12,1029.31,CP
2019-07-01,7,415,7.29,35.12,1029.35,CP
2019-08-01,8,25,20.06,35.02,1024.72,CP
2019-08-01,8,35,19.00,35.17,1025.16,CP
2019-08-01,8,45,16.64,35.17,1025.83,CP
2019-08-01,8,55,15.49,35.24,1026.23,CP
2019-08-01,8,65,15.30,35.47,1026.52,CP
2019-08-01,8,75,15.66,35.77,1026.74,CP
2019-08-01,8,85,15.57,35.87,1026.89,CP
2019-08-01,8,95,15.32,35.90,1027.02,CP
2019-08-01,8,105,14.88,35.87,1027.14,CP
2019-08-01,8,115,14.55,35.84,1027.23,CP
2019-08-01,8,125,14.31,35.82,1027.31,CP
2019-08-01,8,135,14.06,35.79,1027.39,CP
2019-08-01,8,145,13.78,35.77,1027.47,CP
2019-08-01,8,155,13.62,35.75,1027.54,CP
2019-08-01,8,165,13.32,35.71,1027.62,CP
2019-08-01,8,175,13.04,35.68,1027.69,CP
2019-08-01,8,185,12.78,35.64,1027.76,CP
2019-08-01,8,195,12.49,35.60,1027.84,CP
2019-08-01,8,205,12.21,35.56,1027.90,CP
2019-08-01,8,215,11.97,35.53,1027.97,CP
2019-08-01,8,225,11.70,35.49,1028.04,CP
2019-08-01,8,235,11.48,35.47,1028.11,CP
2019-08-01,8,245,11.17,35.43,1028.18,CP
2019-08-01,8,255,10.89,35.39,1028.25,CP
2019-08-01,8,265,10.72,35.37,1028.31,CP
2019-08-01,8,275,10.46,35.34,1028.38,CP
2019-08-01,8,285,10.26,35.32,1028.44,CP
2019-08-01,8,295,10.05,35.29,1028.51,CP
2019-08-01,8,305,9.85,35.27,1028.57,CP
2019-08-01,8,315,9.66,35.25,1028.63,CP
2019-08-01,8,325,9.49,35.24,1028.70,CP
2019-08-01,8,335,9.32,35.22,1028.76,CP
2019-08-01,8,345,9.16,35.21,1028.82,CP
2019-08-01,8,355,9.00,35.20,1028.88,CP
2019-08-01,8,365,8.83,35.19,1028.95,CP
2019-08-01,8,375,8.67,35.18,1029.01,CP
2019-08-01,8,385,8.51,35.17,1029.08,CP
2019-08-01,8,395,8.33,35.16,1029.15,CP
2019-08-01,8,405,8.17,35.15,1029.21,CP
2019-08-01,8,415,8.06,35.15,1029.25,CP
