date,Pacific,Atlantic
2015-04-06 08:00:00,1.6214,1.7908
2015-04-06 12:00:00,1.5972,1.6214
2015-04-06 16:00:00,1.4157,1.0285
2015-04-06 20:00:00,1.3552,4.6948
2015-04-07 00:00:00,1.573,1.0769
2015-04-07 04:00:00,1.6819,0.8228
2015-04-07 08:00:00,1.6093,1.0043
2015-04-07 12:00:00,1.573,1.2221
2015-04-07 16:00:00,1.5246,1.3552
2015-04-07 20:00:00,1.3915,1.7061
2015-04-08 00:00:00,1.5972,1.5004
2015-04-08 04:00:00,1.6456,1.1374
2015-04-08 08:00:00,1.6335,0.6534
2015-04-08 12:00:00,1.5972,0.6655
2015-04-08 16:00:00,1.1737,0.7018
2015-04-08 20:00:00,1.3068,0.7986
2015-04-09 00:00:00,1.5488,1.0406
2015-04-09 04:00:00,1.6819,0.9438
2015-04-09 08:00:00,1.6819,0.7623
2015-04-09 12:00:00,1.5851,0.8954
2015-04-09 16:00:00,1.5367,1.2342
2015-04-09 20:00:00,1.3915,1.1616
2015-04-10 00:00:00,1.573,1.2463
2015-04-10 04:00:00,1.6577,1.0648
2015-04-10 08:00:00,1.6093,0.9075
2015-04-10 12:00:00,1.5488,0.8349
2015-04-10 16:00:00,1.1495,1.0164
2015-04-10 20:00:00,1.2584,0.8591
2015-04-11 00:00:00,1.5972,0.8228
2015-04-11 04:00:00,1.694,0.8228
2015-04-11 08:00:00,1.6577,0.8228
2015-04-11 12:00:00,1.573,0.7865
2015-04-11 16:00:00,1.452,1.0648
2015-04-11 20:00:00,1.4278,0.9922
2015-04-12 00:00:00,1.573,0.847
2015-04-12 04:00:00,1.6456,0.8591
2015-04-12 08:00:00,1.6093,0.9075
2015-04-12 12:00:00,1.5367,0.9075
2015-04-12 16:00:00,1.3915,1.2463
2015-04-12 20:00:00,1.4762,1.2947
2015-04-13 00:00:00,1.5488,1.2826
2015-04-13 04:00:00,1.5851,1.6214
2015-04-13 08:00:00,1.573,1.2826
2015-04-13 12:00:00,1.5246,0.9801
2015-04-13 16:00:00,1.331,1.0648
2015-04-13 20:00:00,1.0769,0.8954
2015-04-14 00:00:00,1.5246,1.1495
2015-04-14 04:00:00,1.5488,1.0648
2015-04-14 08:00:00,1.5246,0.7986
2015-04-14 12:00:00,1.5246,0.5929
2015-04-14 16:00:00,1.331,0.8107
2015-04-14 20:00:00,1.3794,0.7018
2015-04-15 00:00:00,1.5488,0.9075
2015-04-15 04:00:00,1.5488,0.9438
2015-04-15 08:00:00,1.5609,0.8349
2015-04-15 12:00:00,1.5004,0.8107
2015-04-15 16:00:00,1.4278,0.847
2015-04-15 20:00:00,1.452,0.8833
2015-04-16 00:00:00,1.5851,0.9317
2015-04-16 04:00:00,1.6214,0.7381
2015-04-16 08:00:00,1.6335,0.6534
2015-04-16 12:00:00,1.5488,0.6534
2015-04-16 16:00:00,1.4278,0.726
2015-04-16 20:00:00,1.4157,0.7502
2015-04-17 00:00:00,1.573,0.6897
2015-04-17 04:00:00,1.6214,0.7381
2015-04-17 08:00:00,1.6093,0.7986
2015-04-17 12:00:00,1.5367,0.7744
2015-04-17 16:00:00,1.089,0.6534
2015-04-17 20:00:00,1.3915,0.8228
2015-04-18 00:00:00,1.5851,0.5203
2015-04-18 04:00:00,1.6456,0.6534
2015-04-18 08:00:00,1.5851,0.5808
2015-04-18 12:00:00,1.6214,0.3872
2015-04-18 16:00:00,1.4399,0.7502
2015-04-18 20:00:00,1.2947,0.6776
2015-04-19 00:00:00,1.6456,0.7139
2015-04-19 04:00:00,1.6698,0.6655
2015-04-19 08:00:00,1.6577,0.8107
2015-04-19 12:00:00,NaN,0.726
2015-04-19 16:00:00,NaN,0.6534
