pressure,site,temperature,salinity,density,sigma0,lat,lon
1055,3,5.46,34.85,1032.309,27.515,11.984,-31.966
1075,3,5.44,34.86,1032.412,27.527,11.984,-31.966
1095,3,5.39,34.87,1032.519,27.543,11.984,-31.966
1105,3,5.32,34.89,1032.626,27.563,11.984,-31.966
1135,3,5.23,34.90,1032.740,27.580,11.984,-31.966
1145,3,5.20,34.90,1032.838,27.591,11.984,-31.966
1165,3,5.16,34.91,1032.943,27.604,11.984,-31.966
1185,3,5.11,34.92,1033.044,27.615,11.984,-31.966
1215,3,5.05,34.92,1033.150,27.625,11.984,-31.966
1225,3,5.01,34.93,1033.246,27.634,11.984,-31.966
1245,3,4.97,34.94,1033.347,27.643,11.984,-31.966
1265,3,4.93,34.94,1033.450,27.655,11.984,-31.966
1285,3,4.91,34.96,1033.552,27.666,11.984,-31.966
1315,3,4.86,34.96,1033.658,27.676,11.984,-31.966
1325,3,4.81,34.96,1033.752,27.683,11.984,-31.966
1345,3,4.76,34.97,1033.853,27.692,11.984,-31.966
1365,3,4.73,34.97,1033.951,27.699,11.984,-31.966
1385,3,4.69,34.97,1034.049,27.707,11.984,-31.966
1405,3,4.62,34.98,1034.151,27.716,11.984,-31.966
1425,3,4.56,34.98,1034.252,27.725,11.984,-31.966
1455,3,4.50,34.98,1034.356,27.733,11.984,-31.966
1475,3,4.46,34.98,1034.452,27.738,11.984,-31.966
1485,3,4.41,34.98,1034.545,27.743,11.984,-31.966
1505,3,4.37,34.98,1034.640,27.746,11.984,-31.966
1535,3,4.34,34.98,1034.739,27.750,11.984,-31.966
1555,3,4.30,34.98,1034.836,27.755,11.984,-31.966
1565,3,4.25,34.98,1034.928,27.760,11.984,-31.966
1585,3,4.21,34.98,1035.025,27.765,11.984,-31.966
1605,3,4.16,34.98,1035.120,27.769,11.984,-31.966
1625,3,4.13,34.98,1035.216,27.774,11.984,-31.966
1655,3,4.09,34.98,1035.316,27.779,11.984,-31.966
1675,3,4.06,34.98,1035.410,27.782,11.984,-31.966
1695,3,4.03,34.98,1035.504,27.784,11.984,-31.966
1705,3,4.00,34.98,1035.594,27.788,11.984,-31.966
1735,3,3.96,34.98,1035.693,27.791,11.984,-31.966
1745,3,3.94,34.98,1035.781,27.793,11.984,-31.966
1765,3,3.92,34.98,1035.874,27.796,11.984,-31.966
1785,3,3.89,34.98,1035.967,27.798,11.984,-31.966
1805,3,3.85,34.98,1036.063,27.802,11.984,-31.966
1825,3,3.82,34.98,1036.156,27.805,11.984,-31.966
1855,3,3.81,34.98,1036.254,27.807,11.984,-31.966
1875,3,3.77,34.98,1036.347,27.810,11.984,-31.966
1885,3,3.74,34.98,1036.436,27.812,11.984,-31.966
1905,3,3.72,34.98,1036.529,27.815,11.984,-31.966
1925,3,3.70,34.98,1036.621,27.816,11.984,-31.966
1945,3,3.68,34.97,1036.713,27.818,11.984,-31.966
1965,3,3.66,34.97,1036.805,27.820,11.984,-31.966
1995,3,3.63,34.97,1036.902,27.822,11.984,-31.966
2015,3,3.60,34.97,1036.996,27.825,11.984,-31.966
