time,wind_spd,current_spd,barometric_pressure,precipitation,rain,max_wave_height,peak_wave_period
2018-01-03 02:00:00,8.303755465354007,0.08973163468140859,1025.5178,42.691,0.085323334,2.44,6.7
2018-01-03 03:00:00,8.952292227225804,0.021449265727983988,1025.1537,42.640335,0.0,2.12,6.9
2018-01-03 04:00:00,9.124191851060171,0.056652673644686256,1024.9808,42.645832,0.027328491,2.64,5.9
2018-01-03 05:00:00,8.302304954415316,0.0990402143377212,1024.9875,42.630505,0.025997162,2.2,6.7
2018-01-03 06:00:00,8.42634799868162,0.11247090499606903,1025.2428,42.613335,0.016670227,2.27,6.7
2018-01-03 07:00:00,8.789381009966506,0.24870762380282974,1025.6272,42.60484,0.040672302,2.47,6.1
2018-01-03 08:00:00,8.329054722353309,0.2923459612829935,1025.5197,42.582333,0.05600357,2.82,6.7
2018-01-03 09:00:00,7.4338958160829565,0.24470310242697987,1025.293,42.570667,0.03933716,2.13,4.8
2018-01-03 10:00:00,6.9760227832462345,0.1766875467244859,1025.5486,42.551003,0.0,2.81,6.7
2018-01-03 11:00:00,6.799973389671235,0.16949154402811334,1025.8694,42.547832,0.06066513,2.3,7.1
2018-01-03 12:00:00,6.489884111490542,0.17094152241967053,1026.1982,42.536003,0.016010284,2.16,7.1
2018-01-03 13:00:00,5.828775789873231,0.17496729944225434,1026.4993,42.5055,0.013996124,2.77,7.1
2018-01-03 14:00:00,6.220821096318033,0.21665878114020562,1026.9623,42.502335,0.027996063,1.76,7.1
2018-01-03 15:00:00,6.041598381569133,0.18617460560383853,1026.6487,42.506664,0.029335022,2.52,6.9
2018-01-03 16:00:00,5.709866475648467,0.17586794933078295,1025.7485,42.488834,0.016662598,2.17,6.7
2018-01-03 17:00:00,5.4787407883848935,0.12676642122173404,1025.1692,42.48417,0.024673462,2.47,5.7
2018-01-03 18:00:00,4.023480864119695,0.11253156034765574,1024.4122,42.48167,0.03199768,1.29,6.7
2018-01-03 19:00:00,2.4020528501557785,0.07599894611519162,1023.6397,42.480835,0.00799942,1.85,5.6
2018-01-03 20:00:00,0.7958065276004204,0.029538166681861704,1022.70044,42.482666,0.022663116,1.12,5.6
2018-01-03 21:00:00,1.7995871861671082,0.018501304013127173,1022.0129,42.481003,0.001335144,1.27,6.3
2018-01-03 22:00:00,4.049138020271096,0.01852813948966519,1022.1852,42.486164,0.028656006,1.5,6.1
2018-01-03 23:00:00,4.54939814877753,0.023745190229131054,1021.3773,42.467163,0.0006713867,1.33,5.7
2018-01-04 00:00:00,5.311402945804584,0.07765139912445342,1020.2394,42.465,0.0073432922,1.37,5.7
2018-01-04 01:00:00,5.8714475446379515,0.1290785116761869,1019.7302,42.458828,0.009334564,1.21,5.3
2018-01-04 02:00:00,6.593702493493853,0.17919446269590714,1018.5685,42.439995,0.023338318,0.91,3.5
2018-01-04 03:00:00,8.585872675522548,0.23401621738219341,1016.5131,42.412495,0.013336182,1.15,4.0
2018-01-04 04:00:00,9.44602550089221,0.25266358179743365,1014.38574,42.40816,0.027324677,1.61,4.4
2018-01-04 05:00:00,10.121012942879183,0.2886652163010745,1011.7542,42.39733,0.013339996,1.67,4.7
2018-01-04 06:00:00,10.982423982980118,0.35587307131858814,1008.887,42.385662,0.022006989,2.01,5.6
2018-01-04 07:00:00,11.699239264029169,0.3743251935417844,1005.8817,42.377335,0.0046653748,3.75,5.7
2018-01-04 08:00:00,12.86038442964027,0.45503238227266174,1002.23846,42.36417,0.0073394775,2.93,5.9
2018-01-04 09:00:00,13.6850444316264,0.5002762629365795,998.8406,42.398335,0.11533356,4.17,6.9
2018-01-04 10:00:00,15.898443403456868,0.49031915549161054,993.652,42.822334,0.5693321,5.08,7.4
2018-01-04 11:00:00,17.91931493665464,0.5390910550780862,988.03064,43.89617,1.4313316,5.48,8.3
2018-01-04 12:00:00,18.34650640175674,0.5018623675493263,983.621,45.48167,1.5326653,5.55,8.7
2018-01-04 13:00:00,17.325151408505295,0.44129952687532814,981.4579,46.513332,0.72000504,5.86,9.5
2018-01-04 14:00:00,16.643233358232564,0.3952627110967598,978.7894,46.8895,0.3873253,8.09,9.5
2018-01-04 15:00:00,16.319424592655437,0.34265071342688846,974.7263,48.098167,1.906002,7.33,9.1
2018-01-04 16:00:00,15.453672626658852,0.26576363888232085,970.38617,49.682335,0.96866226,6.34,11.1
2018-01-04 17:00:00,18.196755156322883,0.2928906951773225,966.6559,18.455666,0.16133642,9.0,10.5
2018-01-04 18:00:00,19.037789537385134,0.3987502485432302,965.428,1.8616668,0.076666236,9.44,12.5
2018-01-04 19:00:00,18.93804243693149,0.4155894110594863,966.3519,1.9153334,0.03400016,10.36,11.1
2018-01-04 20:00:00,17.828948022534174,0.4366845675596564,969.3829,1.9311669,0.012666583,9.88,11.8
2018-01-04 21:00:00,16.546596243484334,0.4181693566904701,973.77734,1.9316667,0.038000107,10.43,12.5
2018-01-04 22:00:00,16.474336728921333,0.4110772502154087,977.7919,2.0613334,0.19999981,8.45,11.8
2018-01-04 23:00:00,15.635309818307542,0.3738699305829692,981.6258,2.2429998,0.1273334,9.85,10.5
2018-01-05 00:00:00,15.724739578060975,0.3540645653714352,984.73663,2.3213334,0.0813334,11.08,10.5
2018-01-05 01:00:00,16.22901877540477,0.29217378201298866,987.59735,2.3498335,0.11200023,10.17,10.5
2018-01-05 02:00:00,15.826729461664632,0.18728768755291691,989.8322,2.3795,0.11399984,10.92,9.5
2018-01-05 03:00:00,14.589412825790621,0.19289206094547307,991.7663,2.487,0.15733337,8.79,11.8
2018-01-05 04:00:00,13.767635388724575,0.17284773834329314,993.2142,2.486833,0.03733325,9.94,11.1
2018-01-05 05:00:00,13.090120823341733,0.19477741376916444,994.0214,2.476667,0.03600025,7.08,9.1
2018-01-05 06:00:00,12.28207778383544,0.2237702511008409,994.49414,2.4795,0.09866667,7.68,10.0
2018-01-05 07:00:00,12.070685718562546,0.2663741190409185,995.85583,2.524,0.06933308,7.46,10.0
2018-01-05 08:00:00,12.319116819822284,0.4172307064030941,996.7804,2.5168333,0.05133295,7.09,10.0
