time,temperature01,temperature14,temperature15,Eq Count,Eq Magnitude
2018-08-25,3.7314117,3.4080985,3.0630672,67,0.5629850746268655
2018-08-26,3.7193892,3.4091141,3.0581934,64,0.6501562500000001
2018-08-27,3.9838004,3.6166,3.2118723,151,0.6429139072847682
2018-08-28,3.8547876,3.523989,3.2298262,55,0.6038181818181818
2018-08-29,,,,0,
2018-08-30,3.959769,3.3354146,2.6373348,10,0.767
2018-08-31,3.6333804,3.4255304,3.0586264,78,0.495
2018-09-01,3.735236,3.4141326,2.9175684,86,0.5870930232558137
2018-09-02,3.6820803,3.3142111,2.8599148,102,0.5300000000000001
2018-09-03,4.115352,3.5685441,3.1623116,80,0.5702499999999999
2018-09-04,3.9979439,3.5965133,3.306525,79,0.6305063291139239
2018-09-05,4.033226,3.5884168,3.2322962,102,0.6378431372549022
2018-09-06,3.5636022,3.3504927,3.0345569,95,0.546842105263158
2018-09-07,3.0823426,3.168168,2.718657,71,0.598169014084507
2018-09-08,,,,107,0.5431775700934577
2018-09-09,,,,52,0.6623076923076924
2018-09-10,6.0063143,4.8678966,3.7531414,72,0.6004166666666665
2018-09-11,3.884766,3.4572663,3.1545432,119,0.6231932773109243
2018-09-12,4.110978,3.6749449,3.5817204,140,0.6259285714285714
2018-09-13,,,,61,0.6454098360655738
2018-09-14,3.5111077,3.4894497,3.1631129,3,0.44333333333333336
2018-09-15,4.0571055,3.7009258,3.49374,68,0.5720588235294117
2018-09-16,3.948953,3.569518,3.7495525,99,0.5557575757575756
2018-09-17,3.892777,3.603687,3.6801224,63,0.5599999999999999
2018-09-18,4.0333304,3.7967777,3.3614814,79,0.5443037974683546
2018-09-19,3.943334,3.725602,3.5386531,86,0.6389534883720931
2018-09-20,3.907183,3.5849662,3.2032943,95,0.5873684210526317
2018-09-21,4.090835,3.5197682,3.2993665,135,0.7115555555555554
2018-09-22,4.112206,3.6669726,3.4858065,78,0.5879487179487182
2018-09-23,3.6838744,3.346944,3.0683029,77,0.5637662337662337
2018-09-24,3.6950126,3.3361216,3.0544581,68,0.5814705882352943
2018-09-25,4.009653,3.4935875,3.0669708,47,0.592127659574468
2018-09-26,3.880883,3.2219532,2.7906768,61,0.586065573770492
2018-09-27,4.1536484,3.338692,2.9955475,59,0.6694915254237289
2018-09-28,3.8344624,3.2860785,3.1219945,3,0.6233333333333334
2018-09-29,,,,0,
2018-09-30,,,,0,
2018-10-01,,,,0,
2018-10-02,4.5006275,3.533251,3.3462315,4,0.7250000000000001
2018-10-03,4.4831967,3.7136867,3.4544783,98,0.5902040816326531
2018-10-04,4.1494746,3.4689865,3.3400548,81,0.5812345679012346
2018-10-05,4.080325,3.4373431,3.257693,52,0.5873076923076923
2018-10-06,4.3533926,3.6705186,3.4479172,54,0.705925925925926
2018-10-07,4.1270432,3.4692278,3.2787206,72,0.7093055555555553
2018-10-08,4.1736746,3.5089233,3.629581,144,0.6749305555555557
2018-10-09,4.1104126,3.4747689,3.2607539,66,0.7157575757575758
2018-10-10,4.415453,3.5995727,3.1601017,74,0.6432432432432433
2018-10-11,4.24081,3.6100261,3.3111794,20,0.6535
2018-10-12,4.313465,3.5567758,3.3495119,7,0.7528571428571428
2018-10-13,4.685033,3.739018,3.276992,9,0.7155555555555555
2018-10-14,4.0765195,3.4108539,3.3724043,7,0.6628571428571428
2018-10-15,4.5647535,3.7184515,3.4229934,10,0.6489999999999999
2018-10-16,4.1790156,3.5559897,3.1488483,5,0.674
2018-10-17,4.192235,3.5570927,3.30831,6,0.745
2018-10-18,3.9313707,3.2398746,2.9844515,6,0.5033333333333333
2018-10-19,5.6501837,4.3053637,4.1390667,8,0.46499999999999997
2018-10-20,4.030618,3.429589,3.0856872,5,0.512
2018-10-21,4.043336,3.599064,3.2170331,5,0.55
2018-10-22,4.125342,3.599881,2.8962352,4,0.5549999999999999
2018-10-23,4.1742244,3.4177601,2.7921417,1,0.65
2018-10-24,4.0515485,3.489054,3.0995746,3,0.7833333333333333
2018-10-25,4.276256,3.6950293,3.3101544,4,1.055
2018-10-26,4.345706,3.5306418,3.2101831,4,0.7225
2018-10-27,4.00152,3.5573156,3.3451967,7,0.6842857142857142
2018-10-28,4.1392817,3.6157897,3.5302205,10,0.728
2018-10-29,4.277749,3.6262536,3.310848,0,
2018-10-30,4.1271415,3.470175,3.2481916,0,
2018-10-31,4.6251483,3.8254712,3.5884845,0,
2018-11-01,3.9591734,3.3947659,2.8800676,25,0.6579999999999999
2018-11-02,3.7915814,3.3855531,2.8865137,32,0.7784374999999998
2018-11-03,4.530696,3.7738318,3.292617,37,0.6402702702702704
2018-11-04,4.2030125,3.7197099,3.319258,0,
2018-11-05,3.819972,3.2007377,2.7557034,53,0.6352830188679244
2018-11-06,3.9204807,3.2786715,2.7933812,128,0.64796875
2018-11-07,4.4346967,3.6412687,3.1010392,0,
2018-11-08,4.1008286,3.4748137,3.0610867,50,0.6582000000000001
2018-11-09,3.9028416,3.404791,2.9656088,0,
2018-11-10,4.459477,3.5174506,3.1458912,0,
2018-11-11,4.775237,3.8500655,3.3419886,0,
2018-11-12,3.9652805,3.5596008,3.1456237,38,0.7168421052631581
2018-11-13,4.3782644,3.663842,3.4147973,0,
2018-11-14,4.5440145,3.853398,3.3476157,0,
2018-11-15,4.3542128,3.8526242,3.3757784,0,
2018-11-16,4.7128773,3.9432242,3.3528912,39,0.6666666666666666
2018-11-17,4.7851844,3.8788311,3.5611057,0,
2018-11-18,4.3659697,3.7259703,3.1558337,40,0.7554999999999998
2018-11-19,4.350613,3.9235334,3.3511899,0,
2018-11-20,4.2666464,3.8178968,2.9620528,40,0.6970000000000001
2018-11-21,3.899477,3.2614877,2.5724108,0,
2018-11-22,3.8719852,3.3119066,2.8687632,27,0.6200000000000001
2018-11-23,3.9848244,3.310205,3.076977,0,
2018-11-24,3.8980386,3.4746792,3.0866625,25,0.6924000000000001
2018-11-25,3.9942138,3.542228,3.2495162,0,
2018-11-26,4.080893,3.5030382,3.1850317,14,0.8535714285714286
2018-11-27,3.9663298,3.3554757,3.0749073,0,
2018-11-28,4.182489,3.5686338,3.3538544,0,
2018-11-29,4.676164,3.9841368,3.54529,27,0.7755555555555556
2018-11-30,4.600355,3.6785722,3.317725,22,0.6636363636363636
2018-12-01,4.268763,3.6980755,3.2460666,0,
2018-12-02,4.325139,3.6199846,3.197778,23,0.793913043478261
2018-12-03,4.146539,3.5158522,3.1769388,0,
2018-12-04,4.34471,3.6969397,3.1128476,0,
2018-12-05,3.8417938,3.3694768,2.8092616,0,
2018-12-06,4.0745144,3.5977566,3.311729,84,0.7216666666666667
2018-12-07,3.9393969,3.648047,3.1618178,0,
2018-12-08,4.355604,3.7621844,3.2043283,8,0.8062499999999999
2018-12-09,4.1285453,3.5711496,3.1408632,0,
2018-12-10,3.895413,3.467444,3.1458187,0,
2018-12-11,4.2935424,3.6006176,3.218,0,
2018-12-12,4.2151704,3.6972651,3.32421,0,
2018-12-13,4.003067,3.5962005,3.2196054,0,
2018-12-14,4.292518,3.733537,3.2785318,0,
2018-12-15,3.8716118,3.7180505,3.3735273,34,0.752941176470588
2018-12-16,4.0269995,3.54717,3.1018176,28,0.82
2018-12-17,4.523639,3.8761964,3.3342726,4,0.7024999999999999
2018-12-18,3.9336164,3.6982372,3.2690082,0,
2018-12-19,4.3918095,3.7223492,3.1955574,0,
2018-12-20,3.8304634,3.21845,2.696203,0,
2018-12-21,3.836552,3.4987462,3.1268811,11,0.7181818181818183
2018-12-22,3.8538344,3.340178,2.8738763,12,0.715
2018-12-23,3.9157999,3.5152946,3.2269018,5,0.8100000000000002
2018-12-24,4.1782017,3.4746714,2.9876642,6,0.9216666666666665
2018-12-25,4.2018647,3.7683718,3.2866857,3,1.4399999999999997
2018-12-26,4.3217382,3.902203,3.4053617,3,0.8766666666666666
2018-12-27,4.0989227,3.6772215,3.1092043,4,0.765
2018-12-28,3.9008749,3.69011,3.310165,5,0.772
2018-12-29,4.282702,3.8782606,3.4434793,0,
2018-12-30,4.4815836,3.8221273,3.1647396,13,0.773076923076923
2018-12-31,4.2898684,3.5256927,2.8213117,1,0.65
2019-01-01,4.056032,3.9862702,3.264492,5,0.85
2019-01-02,4.55446,3.8336565,3.0335824,23,0.8347826086956521
2019-01-03,4.262386,3.9974387,3.3267913,4,0.6675
2019-01-04,4.1789346,3.854068,3.1401813,2,0.6950000000000001
2019-01-05,4.2950134,3.784792,3.0918767,7,0.6542857142857142
2019-01-06,3.9154644,3.7320588,2.9531515,28,0.9564285714285715
2019-01-07,4.518534,3.749512,3.0901754,34,0.7276470588235294
2019-01-08,4.145824,3.440222,2.887032,3,1.1466666666666667
2019-01-09,4.181325,3.5747972,3.045232,8,0.65
2019-01-10,3.846497,3.4027295,2.8979263,38,0.7492105263157892
