time,Pressure (psi),Depth (m),Temperature
2015-03-16 00:00,2252.3355,1509.9026,2.820994
2015-03-16 00:15,2252.4305,1509.9001,2.8260282
2015-03-16 00:30,2252.5356,1509.8975,2.8310033
2015-03-16 00:45,2252.6484,1509.8943,2.8395807
2015-03-16 01:00,2252.7799,1509.899,2.8467285
2015-03-16 01:15,2252.9033,1509.8947,2.8454805
2015-03-16 01:30,2253.0335,1509.8928,2.8452027
2015-03-16 01:45,2253.1698,1509.8939,2.8470631
2015-03-16 02:00,2253.3172,1509.9025,2.84649
2015-03-16 02:15,2253.4508,1509.9035,2.8328608
2015-03-16 02:30,2253.586,1509.9079,2.8235517
2015-03-16 02:45,2253.7051,1509.9053,2.8317343
2015-03-16 03:00,2253.8305,1509.9117,2.8375242
2015-03-16 03:15,2253.9418,1509.9145,2.8353784
2015-03-16 03:30,2254.0328,1509.9102,2.8316291
2015-03-16 03:45,2254.1202,1509.911,2.8295244
2015-03-16 04:00,2254.1899,1509.9082,2.8286219
2015-03-16 04:15,2254.2553,1509.9111,2.8266261
2015-03-16 04:30,2254.3011,1509.91,2.8246306
2015-03-16 04:45,2254.3289,1509.9064,2.8258735
2015-03-16 05:00,2254.3547,1509.911,2.8269346
2015-03-16 05:15,2254.358,1509.9101,2.8282149
2015-03-16 05:30,2254.334,1509.9002,2.8350954
2015-03-16 05:45,2254.3237,1509.9085,2.8398689
2015-03-16 06:00,2254.2862,1509.9071,2.8374066
2015-03-16 06:15,2254.2472,1509.9123,2.8288633
2015-03-16 06:30,2254.1854,1509.9094,2.8261976
2015-03-16 06:45,2254.1154,1509.907,2.8256607
2015-03-16 07:00,2254.048,1509.9113,2.8232718
2015-03-16 07:15,2253.9638,1509.9085,2.8189412
2015-03-16 07:30,2253.8843,1509.9114,2.8150478
2015-03-16 07:45,2253.8048,1509.9158,2.8157256
2015-03-16 08:00,2253.7136,1509.9127,2.8172991
2015-03-16 08:15,2253.6214,1509.9081,2.8150493
2015-03-16 08:30,2253.5393,1509.9081,2.812899
2015-03-16 08:45,2253.474,1509.9163,2.8133923
2015-03-16 09:00,2253.3959,1509.9114,2.816631
2015-03-16 09:15,2253.3304,1509.9097,2.8192561
2015-03-16 09:30,2253.2763,1509.9092,2.8222606
2015-03-16 09:45,2253.2341,1509.9097,2.8222049
2015-03-16 10:00,2253.195,1509.9046,2.8194992
2015-03-16 10:15,2253.1772,1509.9052,2.8193344
2015-03-16 10:30,2253.1725,1509.906,2.8190547
2015-03-16 10:45,2253.1714,1509.9,2.8178926
2015-03-16 11:00,2253.1948,1509.9013,2.8185358
2015-03-16 11:15,2253.2314,1509.9024,2.823346
2015-03-16 11:30,2253.2714,1509.897,2.8210825
2015-03-16 11:45,2253.3278,1509.8941,2.8156295
2015-03-16 12:00,2253.4068,1509.8984,2.811418
2015-03-16 12:15,2253.4871,1509.8967,2.8093376
2015-03-16 12:30,2253.5655,1509.8872,2.809636
2015-03-16 12:45,2253.659,1509.8825,2.812597
2015-03-16 13:00,2253.773,1509.8874,2.8161695
2015-03-16 13:15,2253.8839,1509.8871,2.8183476
2015-03-16 13:30,2253.994,1509.8844,2.820191
2015-03-16 13:45,2254.1063,1509.8825,2.8194388
2015-03-16 14:00,2254.218,1509.8809,2.8181776
2015-03-16 14:15,2254.3337,1509.8838,2.818422
2015-03-16 14:30,2254.4344,1509.8801,2.822089
2015-03-16 14:45,2254.5356,1509.881,2.8258787
2015-03-16 15:00,2254.6298,1509.8829,2.8244783
2015-03-16 15:15,2254.7134,1509.8845,2.8201988
2015-03-16 15:30,2254.7895,1509.889,2.815861
2015-03-16 15:45,2254.8409,1509.8857,2.8128056
2015-03-16 16:00,2254.8861,1509.8882,2.8095871
2015-03-16 16:15,2254.9107,1509.8874,2.809373
2015-03-16 16:30,2254.928,1509.893,2.8105869
2015-03-16 16:45,2254.92,1509.8933,2.8128763
2015-03-16 17:00,2254.8929,1509.893,2.8139029
2015-03-16 17:15,2254.8428,1509.8893,2.8135059
2015-03-16 17:30,2254.782,1509.8907,2.8146467
2015-03-16 17:45,2254.7041,1509.8924,2.8156869
2015-03-16 18:00,2254.6139,1509.8971,2.8141188
2015-03-16 18:15,2254.4953,1509.8937,2.8129842
2015-03-16 18:30,2254.3726,1509.8972,2.8134532
2015-03-16 18:45,2254.234,1509.899,2.8149238
2015-03-16 19:00,2254.0782,1509.8968,2.8202629
2015-03-16 19:15,2253.9275,1509.9043,2.8290323
2015-03-16 19:30,2253.7596,1509.9051,2.8382696
2015-03-16 19:45,2253.5893,1509.9076,2.8376555
2015-03-16 20:00,2253.4096,1509.9056,2.8286322
2015-03-16 20:15,2253.2346,1509.907,2.8276685
2015-03-16 20:30,2253.074,1509.9167,2.839422
2015-03-16 20:45,2252.9025,1509.9162,2.8485666
2015-03-16 21:00,2252.7371,1509.9153,2.8401246
2015-03-16 21:15,2252.5875,1509.9193,2.8310281
2015-03-16 21:30,2252.4424,1509.9191,2.8250579
2015-03-16 21:45,2252.315,1509.9222,2.822412
2015-03-16 22:00,2252.1992,1509.9237,2.8223574
2015-03-16 22:15,2252.0924,1509.9204,2.8213562
