time,Endurance Salinity,Endurance Air Temp,Endurance SST,Endurance Rain,Pioneer Salinity,Pioneer Air Temp,Pioneer SST,Pioneer Rain,Irminger Salinity,Irminger Air Temp,Irminger SST,Irminger Rain
2014-11-20,,,,,,,,,34.90483835,3.4830966,5.3232036,1.3293171
2014-11-21,,,,,,,,,34.90695017,3.1777472,5.2717896,0.6380005
2014-11-22,,,,,,,,,34.90257351,3.088066,5.255101,7.602537
2014-11-23,,,,,,,,,34.89238962,3.440914,5.2636285,0.8520088
2014-11-24,,,,,,,,,34.89198669,3.525288,5.353787,0.69295883
2014-11-25,,,,,,,,,34.90798861,2.5565853,5.3650885,0.5042763
2014-11-26,,,,,,,,,34.92884913,3.840853,5.4129996,1.086689
2014-11-27,,,,,,,,,34.91639144,4.166252,5.3840714,0.6073303
2014-11-28,,,,,,,,,34.90885408,1.0999017,5.306698,0.63658714
2014-11-29,,,,,,,,,34.9153423,0.6904038,5.243492,2.5504856
2014-11-30,,,,,,,,,34.92482923,0.70424026,5.194107,3.073328
2014-12-01,,,,,,,,,34.93141906,1.7279366,5.1578703,2.8409767
2014-12-02,,,,,,,,,34.94738021,2.3868952,5.1706114,3.182272
2014-12-03,,,,,,,,,34.94922823,0.7740104,5.093986,3.3866692
2014-12-04,,,,,,,,,34.92402443,1.7850368,4.7877455,4.658003
2014-12-05,,,,,,,,,34.92508974,1.4399887,4.865416,3.3078384
2014-12-06,,,,,,,,,34.93187852,2.3780293,4.8386817,0.43941498
2014-12-07,,,,,,,,,34.93259908,0.98443437,4.8067617,0.875885
2014-12-08,,,,,,,,,34.92599555,0.6192456,4.759287,5.366253
2014-12-09,,,,,,,,,34.92263502,1.5167183,4.6755137,2.6067338
2014-12-10,,,,,,,,,34.92525865,-0.024649007,4.618638,5.242385
2014-12-11,,,,,,,,,34.92718082,-0.0263079,4.555444,3.1651218
2014-12-12,,,,,,,,,34.9316369,3.2015417,4.5826526,3.399404
2014-12-13,,,,,,,,,34.93383255,1.9662648,4.5685325,3.1663668
2014-12-14,,,,,,,,,34.93607051,1.6561108,4.5524306,1.8293421
2014-12-15,,,,,,,,,34.894669,3.9064503,4.398949,10.642832
2014-12-16,,,,,,,,,34.90864157,2.1158848,4.4738865,2.8748531
2014-12-17,,,,,,,,,34.92564775,-1.6014297,4.4676943,2.7338514
2014-12-18,,,,,,,,,34.92739695,0.42933336,4.4380536,2.4244728
2014-12-19,,,,,,,,,34.92957169,1.7431304,4.4313555,2.4701166
2014-12-20,,,,,,,,,34.92296967,-0.5991238,4.3816643,3.0870419
2014-12-21,,,,,,,,,34.92602454,1.5978037,4.3376,3.0808115
2014-12-22,,,,,,,,,34.92328211,1.3460103,4.3097343,3.1393604
2014-12-23,,,,,,,,,34.9192667,2.2432745,4.248158,2.9228354
2014-12-24,,,,,,,,,34.92758451,1.1832693,4.3187995,0.4157343
2014-12-25,,,,,,,,,34.92520621,1.4880435,4.3256335,2.3315754
2014-12-26,,,,,,,,,34.95437668,1.3730046,4.6367273,4.328251
2014-12-27,,,,,,,,,34.95572002,4.442849,4.7026596,5.940031
2014-12-28,,,,,,,,,34.92927663,3.446678,4.6902623,12.154915
2014-12-29,,,,,,,,,34.94819914,2.268657,4.6940603,0.78770447
2014-12-30,,,,,,,,,34.94230283,1.9978237,4.5922103,3.4214478
2014-12-31,,,,,,,,,34.94285521,1.8657087,4.6146717,2.3534012
2015-01-01,,,,,,,,,34.93537482,0.78362554,4.477539,1.4688606
2015-01-02,,,,,,,,,34.92786066,-0.7941915,4.4032583,2.3365707
2015-01-03,,,,,,,,,34.93010577,0.7171328,4.386615,4.622799
2015-01-04,,,,,,,,,34.91839333,1.3784052,4.230481,3.0797424
2015-01-05,,,,,,,,,34.91707816,1.1338801,4.1611657,0.8928337
2015-01-06,,,,,,,,,34.91538857,-0.06467763,4.1598077,1.0645523
2015-01-07,,,,,,,,,34.91648945,-0.4696166,4.148542,8.57394
2015-01-08,,,,,,,,,34.91690592,-1.0688282,4.106071,0.10817337
2015-01-09,,,,,,,,,34.90581144,-1.9389272,4.098809,8.227737
2015-01-10,,,,,,,,,34.9236414,-0.9752566,4.2071013,1.2818756
2015-01-11,,,,,,,,,34.93665019,-0.08436848,4.3387384,2.361866
2015-01-12,,,,,,,,,34.94127119,-1.1099387,4.347805,1.1833954
2015-01-13,,,,,,,,,34.93116248,2.3295953,4.238696,5.7907295
2015-01-14,,,,,,,,,34.93080689,3.3120348,4.2312326,17.668995
2015-01-15,,,,,,,,,34.94229572,0.38338986,4.37067,3.9753609
2015-01-16,,,,,,,,,34.94542165,-1.2335651,4.4250574,5.8893623
2015-01-17,,,,,,,,,34.92536746,0.18957075,4.09105,4.149296
2015-01-18,,,,,,,,,34.92687093,2.509256,4.345349,4.232273
2015-01-19,,,,,,,,,34.93404273,0.33793014,4.3916373,5.256569
2015-01-20,,,,,,,,,34.91257284,-0.024221448,4.0166516,5.578182
2015-01-21,,,,,,,,,34.90116881,2.7296886,3.9046097,5.4444885
2015-01-22,,,,,,,,,34.91367664,-0.27402282,4.0157323,4.562557
2015-01-23,,,,,,,,,34.93125713,-1.70147,4.240019,4.482048
