Date Time,Water Level_8518750,Water Level_8531680,Water Level_8534720,Water Level_8570283,Prediction_8518750,Prediction_8531680,Prediction_8534720,Prediction_8570283
2012-10-28 00:00:00,2.7066999999999997,2.4128,2.8904,3.5004999999999997,2.3853,2.0521,2.5671999999999997,3.1496000000000004
2012-10-28 01:00:00,2.4488000000000003,2.0997,2.6098,3.4322000000000004,2.1181,1.739,2.2776,3.0362
2012-10-28 02:00:00,2.1308,1.7951000000000004,2.3104,3.2826,1.7856,1.3931,1.9678,2.8701
2012-10-28 03:00:00,1.8272000000000002,1.5417999999999998,2.0891,3.1022,1.4708,1.0634000000000001,1.7079,2.709
2012-10-28 04:00:00,1.6407,1.3762,2.0446999999999997,2.9791999999999996,1.1875,0.8248999999999999,1.5682000000000003,2.6055
2012-10-28 05:00:00,1.5321,1.3516000000000001,2.1005000000000003,3.0155000000000003,1.0202,0.7811,1.6038000000000001,2.59
2012-10-28 06:00:00,1.6168,1.5400000000000003,2.3274000000000004,3.1834,1.0991,0.97,1.8136000000000003,2.6720999999999995
2012-10-28 07:00:00,1.943,1.9169,2.6056,3.3048,1.4048,1.3144,2.1303,2.8202
2012-10-28 08:00:00,2.3609,2.321,2.9416,3.4503,1.7908000000000002,1.7034000000000002,2.4640999999999997,2.9848999999999997
2012-10-28 09:00:00,2.7089000000000003,2.6314,3.1497000000000006,3.5986,2.1505,2.0652,2.7449,3.1323
2012-10-28 10:00:00,2.9217999999999997,2.8203000000000005,3.3029,3.7225,2.4381999999999997,2.3348,2.9185,3.2356000000000003
2012-10-28 11:00:00,3.0369,2.9097,3.2781,3.7962,2.6070999999999995,2.4277,2.9405,3.2804
2012-10-28 12:00:00,3.0654,2.8502,3.1145,3.81,2.5972000000000004,2.3047000000000004,2.7973000000000003,3.2672
2012-10-28 13:00:00,2.9249,2.633,2.9067,3.7693000000000003,2.3884,2.0231,2.5274,3.1841999999999997
2012-10-28 14:00:00,2.6436,2.3305999999999996,2.5815,3.7192,2.0608999999999997,1.6747,2.1997999999999998,3.0262000000000002
2012-10-28 15:00:00,2.2916999999999996,2.0319999999999996,2.3394999999999997,3.5638999999999994,1.7228,1.3135,1.8855,2.8366999999999996
2012-10-28 16:00:00,2.0147,1.7632,2.255,3.4082999999999997,1.3986,0.9916999999999998,1.6541000000000001,2.6786000000000003
2012-10-28 17:00:00,1.7873999999999999,1.5789,2.2121,3.3222,1.1262999999999999,0.8097000000000001,1.5740999999999998,2.5959
2012-10-28 18:00:00,1.6919999999999997,1.6031,2.3047999999999997,3.3939,1.043,0.8527000000000001,1.6778000000000002,2.6145000000000005
2012-10-28 19:00:00,1.9135000000000002,1.8800000000000001,2.5533,3.5249,1.2183,1.0989,1.9267999999999996,2.7227999999999994
2012-10-28 20:00:00,2.2268999999999997,2.2310000000000003,2.8865000000000003,3.643900000000001,1.5471000000000001,1.4452999999999998,2.2353,2.8719999999999994
2012-10-28 21:00:00,2.6184000000000003,2.5988,3.2083,3.7492999999999994,1.8966,1.8026,2.5206000000000004,3.0170000000000003
2012-10-28 22:00:00,2.9238999999999997,2.8954,3.3832,3.8729,2.2,2.1033999999999997,2.7214,3.1256999999999997
2012-10-28 23:00:00,3.1729000000000003,3.1028000000000002,3.4527,3.9569999999999994,2.4084999999999996,2.2599,2.7867999999999995,3.1748
2012-10-29 00:00:00,3.2711000000000006,3.1218,3.4128999999999996,3.9876999999999994,2.4591000000000003,2.2001999999999997,2.6897,3.1643
2012-10-29 01:00:00,3.1683999999999997,2.9231000000000003,3.2489000000000003,3.9807999999999995,2.3066000000000004,1.9485,2.4545000000000003,3.0956
2012-10-29 02:00:00,2.9063999999999997,2.6065000000000005,2.9771,3.9509999999999996,1.9965999999999997,1.6081999999999996,2.1507,2.9615
2012-10-29 03:00:00,2.5861,2.3255,2.7145,3.8838,1.6578000000000004,1.2648000000000001,1.8567999999999998,2.7906000000000004
2012-10-29 04:00:00,2.2952,2.0766,2.4962999999999997,3.7789,1.3626,0.9686,1.6408999999999998,2.6452
2012-10-29 05:00:00,2.1136,1.9003,2.4436999999999998,3.6809,1.1226,0.7946,1.5657,2.5729
2012-10-29 06:00:00,1.9921000000000002,1.8613,2.5664,3.7174,1.0311,0.8331,1.6707,2.5968
2012-10-29 07:00:00,2.0474,2.0214,2.807,3.824799999999999,1.1949999999999998,1.0917,1.935,2.7131
2012-10-29 08:00:00,2.3344,2.3790999999999998,3.1243999999999996,3.9193000000000007,1.5544,1.473,2.2765999999999997,2.8788000000000005
2012-10-29 09:00:00,2.7088,2.7897999999999996,3.4762999999999997,4.0129,1.9526,1.8649,2.6037999999999997,3.0440000000000005
2012-10-29 10:00:00,3.15,3.162,3.8009,4.1118,2.2923999999999998,2.1989000000000005,2.8510999999999997,3.1790999999999996
2012-10-29 11:00:00,3.4776,3.4719,3.9555999999999996,4.1806,2.5343,2.4099999999999997,2.9692000000000003,3.2616
2012-10-29 12:00:00,3.6692,3.6062,3.9703000000000004,4.250100000000001,2.6361,2.4229,2.9248000000000003,3.2833999999999994
2012-10-29 13:00:00,3.7028,3.5493,3.8680000000000008,4.2803,2.5502,2.2254,2.7215000000000003,3.247
2012-10-29 14:00:00,3.5494999999999997,3.3513999999999995,3.6253,4.268000000000001,2.2806,1.8981000000000001,2.4147,3.1392999999999995
2012-10-29 15:00:00,3.2720999999999996,3.0822000000000003,3.2745000000000006,4.1448,1.9283000000000001,1.5359,2.0806,2.9646
