time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-03-20T13:41:19.630Z,40.678,-125.2803333,23.662,2.83,md,28,276,0.745,0.26,nc,nc72188531,2017-02-03T11:01:58.585Z,"86km W of Ferndale, California",earthquake,2.21,16.9,0.163,35,reviewed,nc,nc
2014-03-18T11:32:46.040Z,40.8903333,-124.8683333,24.067,2.83,md,29,256,0.5793,0.25,nc,nc72187371,2017-02-03T10:42:58.428Z,"59km WNW of Bayview, California",earthquake,1.63,16.66,0.161,35,reviewed,nc,nc
2014-03-18T10:33:59.280Z,40.6863333,-125.3328333,22.999,4.41,mw,29,271,0.7865,0.17,nc,nc72187346,2017-03-17T23:12:20.996Z,"91km W of Ferndale, California",earthquake,2.35,8.92,,9,reviewed,nc,nc
2014-03-16T03:46:09.720Z,40.8585,-125.0218333,24.12,4.01,mw,38,257,0.6459,0.17,nc,nc72186031,2017-03-17T23:12:00.204Z,"71km W of Bayview, California",earthquake,0.99,12.48,,10,reviewed,nc,nc
2014-03-16T00:04:27.390Z,40.7838333,-125.1606667,23.054,2.97,ml,55,257,0.6982,0.17,nc,nc72185946,2017-02-03T10:21:26.713Z,"79km WNW of Ferndale, California",earthquake,1.57,7.04,0.175,12,reviewed,nc,nc
2014-03-15T14:49:32.000Z,40.3311667,-124.5978333,20.541,2.21,md,28,232,0.2396,0.17,nc,nc72185676,2017-02-03T10:17:33.430Z,"39km SW of Ferndale, California",earthquake,0.98,0.35,0.311,23,reviewed,nc,nc
2014-03-15T12:31:20.640Z,40.751,-125.2363333,22.982,2.87,md,28,274,0.7369,0.22,nc,nc72185641,2017-02-03T10:16:48.834Z,"84km WNW of Ferndale, California",earthquake,4,14.68,0.197,38,reviewed,nc,nc
2014-03-15T10:59:19.740Z,40.7646667,-125.1091667,23.694,2.56,md,31,266,0.6541,0.22,nc,nc72185591,2017-02-03T10:15:57.061Z,"74km WNW of Ferndale, California",earthquake,1.76,13.78,0.315,32,reviewed,nc,nc
2014-03-15T08:07:28.310Z,40.7721667,-125.1416667,24.484,2.86,md,29,270,0.6802,0.23,nc,nc72185526,2017-02-03T10:14:53.583Z,"77km WNW of Ferndale, California",earthquake,1.09,17.86,0.26,37,reviewed,nc,nc
2014-03-15T07:43:58.150Z,40.7018333,-124.9921667,23.444,2.83,md,33,274,0.5468,0.12,nc,nc72185491,2017-02-03T10:14:33.171Z,"63km WNW of Ferndale, California",earthquake,1.74,10.31,0.169,34,reviewed,nc,nc
2014-03-15T05:05:44.720Z,40.6661667,-125.1481667,11.884,2.45,md,25,303,0.6459,0.18,nc,nc72185411,2017-02-03T10:13:02.796Z,"75km W of Ferndale, California",earthquake,7.41,8.39,0.252,29,reviewed,nc,nc
2014-03-14T16:32:35.210Z,40.3481667,-124.6103333,19.005,4,mw,49,229,0.2441,0.14,nc,nc72185141,2017-03-17T23:11:00.166Z,"38km SW of Ferndale, California",earthquake,0.65,0.4,,13,reviewed,nc,nc
2014-03-14T16:16:33.810Z,40.714,-125.3471667,28.109,2.73,md,22,304,0.8045,0.24,nc,nc72185126,2017-02-03T10:08:18.494Z,"92km W of Ferndale, California",earthquake,1.65,16.36,0.193,27,reviewed,nc,nc
2014-03-13T23:27:46.290Z,40.5415,-125.3041667,22.142,2.9,mh,44,296,0.7396,0.32,nc,nc72184591,2017-02-03T09:58:26.278Z,"88km W of Ferndale, California",earthquake,8.01,19.69,,0,reviewed,nc,nc
2014-03-13T19:13:16.650Z,41.846,-126.88,10.16,4.6,mb,,88,2.01,1.02,us,usc000nnwk,2014-05-16T21:51:39.000Z,"212km WSW of Gold Beach, Oregon",earthquake,,4.2,0.097,36,reviewed,us,us
2014-03-13T19:11:34.640Z,41.9039,-126.8982,10,5.5,mww,,63,2.013,1.14,us,usc000nah5,2017-02-03T09:55:49.106Z,"212km WSW of Gold Beach, Oregon",earthquake,,1.8,,,reviewed,us,us
2014-03-13T18:47:36.020Z,40.3333333,-124.5996667,20.065,2.57,md,34,232,0.2414,0.15,nc,nc72184436,2017-02-03T09:55:37.420Z,"39km SW of Ferndale, California",earthquake,1.13,0.35,0.124,35,reviewed,nc,nc
2014-03-13T12:36:44.200Z,40.4085,-125.3858333,14.612,2.83,md,28,279,0.8018,0.3,nc,nc72184276,2017-02-03T09:53:34.867Z,"96km W of Ferndale, California",earthquake,7.78,9.43,0.128,42,reviewed,nc,nc
2014-03-13T10:08:29.910Z,40.6901667,-124.969,8.599,2.33,md,15,328,0.5261,0.23,nc,nc72184226,2017-02-03T09:52:58.604Z,"60km WNW of Ferndale, California",earthquake,2.95,1.47,0.261,20,reviewed,nc,nc
2014-03-12T09:08:07.980Z,40.7465,-125.1916667,17.734,2.99,ml,57,252,0.7036,0.16,nc,nc72183401,2017-02-03T09:39:33.008Z,"80km WNW of Ferndale, California",earthquake,1.25,2.8,0.107,16,reviewed,nc,nc
2014-03-12T07:49:38.100Z,40.6535,-125.2478333,23.627,2.91,md,37,298,0.7153,0.19,nc,nc72183356,2017-02-03T09:38:39.795Z,"83km W of Ferndale, California",earthquake,1.69,12.8,0.136,31,reviewed,nc,nc
2014-03-12T04:12:07.770Z,40.591,-125.339,23.852,2.97,md,26,271,0.7712,0.25,nc,nc72183201,2017-02-03T09:36:16.547Z,"91km W of Ferndale, California",earthquake,2.22,18.8,0.107,31,reviewed,nc,nc
2014-03-11T23:14:26.890Z,40.5281667,-125.2616667,23.446,2.83,md,21,285,0.7063,0.21,nc,nc72183066,2017-02-03T09:33:19.439Z,"84km W of Ferndale, California",earthquake,3.17,16,0.18,32,reviewed,nc,nc
2014-03-11T19:21:41.420Z,40.6455,-125.3065,23.182,3.14,ml,47,255,0.7568,0.22,nc,nc72183006,2017-02-03T09:32:15.079Z,"88km W of Ferndale, California",earthquake,1.81,10.93,0.116,14,reviewed,nc,nc
2014-03-11T09:47:02.480Z,40.5721667,-125.2805,17.467,2.83,md,23,295,0.7243,0.2,nc,nc72182791,2017-02-03T09:29:52.502Z,"86km W of Ferndale, California",earthquake,5.22,6.73,0.162,36,reviewed,nc,nc
