Date,ID Depth,EC Depth,CC Depth
4/23/15 0:00,1512.6215,1501.3343,1509.8112
4/23/15 0:15,1512.6223,1501.3328,1509.8096
4/23/15 0:30,1512.615,1501.3281,1509.8107
4/23/15 0:45,1512.613,1501.3272,1509.8098
4/23/15 1:00,1512.6119,1501.3299,1509.8093
4/23/15 1:15,1512.6089,1501.3275,1509.8058
4/23/15 1:30,1512.6094,1501.3247,1509.8044
4/23/15 1:45,1512.6073,1501.3242,1509.8071
4/23/15 2:00,1512.6122,1501.3257,1509.8093
4/23/15 2:15,1512.6056,1501.3218,1509.8078
4/23/15 2:30,1512.6073,1501.3226,1509.8038
4/23/15 2:45,1512.6074,1501.3249,1509.8046
4/23/15 3:00,1512.6094,1501.3279,1509.8059
4/23/15 3:15,1512.6113,1501.3277,1509.8097
4/23/15 3:30,1512.6057,1501.3215,1509.8068
4/23/15 3:45,1512.6051,1501.3213,1509.8049
4/23/15 4:00,1512.6018,1501.3191,1509.8017
4/23/15 4:15,1512.6059,1501.3177,1509.8017
4/23/15 4:30,1512.6038,1501.3183,1509.804
4/23/15 4:45,1512.6053,1501.3202,1509.8043
4/23/15 5:00,1512.6083,1501.3237,1509.8051
4/23/15 5:15,1512.6098,1501.322,1509.8053
4/23/15 5:30,1512.613,1501.3205,1509.8039
4/23/15 5:45,1512.6125,1501.3224,1509.8047
4/23/15 6:00,1512.6189,1501.3239,1509.8049
4/23/15 6:15,1512.618,1501.3262,1509.8027
4/23/15 6:30,1512.6245,1501.3249,1509.8066
4/23/15 6:45,1512.6234,1501.3235,1509.8038
4/23/15 7:00,1512.626,1501.3222,1509.8029
4/23/15 7:15,1512.6243,1501.3191,1509.8008
4/23/15 7:30,1512.627,1501.3259,1509.8037
4/23/15 7:45,1512.6246,1501.3231,1509.8056
4/23/15 8:00,1512.6245,1501.3275,1509.8066
4/23/15 8:15,1512.6228,1501.3253,1509.8065
4/23/15 8:30,1512.621,1501.318,1509.802
4/23/15 8:45,1512.6214,1501.3156,1509.8018
4/23/15 9:00,1512.6246,1501.318,1509.8047
4/23/15 9:15,1512.6235,1501.3196,1509.799
4/23/15 9:30,1512.6275,1501.3211,1509.8034
4/23/15 9:45,1512.6238,1501.3216,1509.8018
4/23/15 10:00,1512.6182,1501.3259,1509.8037
4/23/15 10:15,1512.6189,1501.3257,1509.8071
4/23/15 10:30,1512.6222,1501.3263,1509.8102
4/23/15 10:45,1512.6231,1501.3282,1509.813
4/23/15 11:00,1512.6286,1501.3323,1509.814
4/23/15 11:15,1512.626,1501.3306,1509.8107
4/23/15 11:30,1512.6251,1501.3309,1509.8112
4/23/15 11:45,1512.6279,1501.3294,1509.81
4/23/15 12:00,1512.6279,1501.3294,1509.8123
4/23/15 12:15,1512.628,1501.3254,1509.8104
