time,latitude,longitude,depth,mag
2015-04-23T15:55:12Z,45.9475,-129.98404,1.269,0.2
2015-04-23T15:59:39Z,45.9446,-129.98376,1.009,0.1
2015-04-23T16:00:35Z,45.95522,-129.99023,1.427,0.2
2015-04-23T16:02:25Z,45.94992,-129.98807,0.803,0.1
2015-04-23T16:05:47Z,45.95776,-129.99051,1.468,0.1
2015-04-23T16:07:14Z,45.9584,-129.98715,1.755,0.6
2015-04-23T16:09:08Z,45.96008,-129.98753,1.543,0.1
2015-04-23T16:15:34Z,45.93549,-129.97391,1.718,0
2015-04-23T16:15:39Z,45.9446,-129.98248,1.3,0.1
2015-04-23T16:15:50Z,45.93827,-129.97694,1.46,0.2
2015-04-23T16:15:54Z,45.93737,-129.9765,1.497,0.3
2015-04-23T16:16:23Z,45.93763,-129.97671,1.559,0.3
2015-04-23T16:17:28Z,45.938,-129.97577,1.394,0.3
2015-04-23T16:23:56Z,45.93662,-129.97357,1.499,0.4
2015-04-23T16:24:06Z,45.93798,-129.97548,1.451,0.3
2015-04-23T16:33:41Z,45.94108,-130.02094,1.329,0.6
2015-04-23T16:35:18Z,45.93701,-129.97921,0.772,0.1
2015-04-23T16:36:30Z,45.93742,-129.97427,1.475,0.3
2015-04-23T16:41:44Z,45.92908,-129.97387,1.338,0.7
2015-04-23T16:41:53Z,45.95213,-129.98909,0.93,0.1
2015-04-23T16:47:04Z,45.92576,-130.00069,0.881,0.1
2015-04-23T16:52:05Z,45.93721,-130.02047,1.204,0.3
2015-04-23T16:56:38Z,45.95503,-129.98792,1.367,0.3
2015-04-23T16:59:07Z,45.93548,-129.96959,1.687,0
2015-04-23T17:03:04Z,45.93788,-129.97482,1.354,0.3
2015-04-23T17:03:36Z,45.95205,-129.98145,1.484,0.2
2015-04-23T17:07:54Z,45.93754,-129.97513,1.37,0.6
2015-04-23T17:09:20Z,45.95596,-129.99023,1.319,0.3
2015-04-23T17:10:31Z,45.93522,-129.98065,1.28,0
2015-04-23T17:11:37Z,45.94828,-129.98218,1.454,0.2
2015-04-23T17:11:53Z,45.94821,-129.98273,1.388,0.4
2015-04-23T17:13:34Z,45.94247,-129.9857,0.66,0.1
2015-04-23T17:13:57Z,45.94521,-129.98971,0.416,0.1
2015-04-23T17:14:20Z,45.94118,-129.98112,1.519,0.6
2015-04-23T17:15:06Z,45.94209,-129.98389,1.019,0.3
2015-04-23T17:15:18Z,45.94109,-130.01671,1.063,0.2
2015-04-23T17:17:02Z,45.93893,-129.98335,1.137,0
2015-04-23T17:17:32Z,45.94196,-129.98391,1.071,0.5
2015-04-23T17:18:27Z,45.93814,-129.98337,1.15,0
2015-04-23T17:22:49Z,45.93746,-129.97346,1.523,0
2015-04-23T17:23:01Z,45.94901,-129.98216,1.356,0.4
2015-04-23T17:23:19Z,45.97162,-129.99461,1.76,0.6
2015-04-23T17:25:26Z,45.93772,-129.97574,1.542,0.6
2015-04-23T17:26:04Z,45.94158,-129.98049,1.268,0
2015-04-23T17:27:01Z,45.94093,-129.98184,1.027,0.4
2015-04-23T17:27:22Z,45.96339,-129.98667,1.512,0.8
2015-04-23T17:28:50Z,45.93703,-129.97609,1.46,0.3
2015-04-23T17:29:57Z,45.93768,-129.97339,1.47,0.2
2015-04-23T17:31:04Z,45.9375,-129.97707,1.203,0.2
2015-04-23T17:31:29Z,45.94102,-129.98011,1.358,0.3
2015-04-23T17:31:30Z,45.94446,-129.9734,1.738,0.4
2015-04-23T17:31:53Z,45.94176,-129.97764,1.637,0.1
2015-04-23T17:32:18Z,45.93841,-129.97526,1.522,0.1
2015-04-23T17:32:38Z,45.94036,-129.97837,1.774,1.2
2015-04-23T17:33:07Z,45.93855,-129.97603,1.471,0.4
2015-04-23T17:33:32Z,45.94004,-129.97848,1.566,0.6
2015-04-23T17:34:07Z,45.94118,-129.98221,0.907,0.2
2015-04-23T17:34:18Z,45.94098,-129.98064,1.286,0.4
2015-04-23T17:34:30Z,45.93987,-129.97852,1.482,0.1
2015-04-23T17:34:35Z,45.94005,-129.9773,1.776,0.9
2015-04-23T17:34:44Z,45.94098,-129.98078,1.432,1.1
2015-04-23T17:36:27Z,45.93558,-129.97467,1.614,0.6
2015-04-23T17:36:42Z,45.93978,-129.97697,1.725,0.4
2015-04-23T17:36:50Z,45.94056,-129.97859,1.575,0.3
2015-04-23T17:37:00Z,45.9414,-129.98264,0.844,0.5
2015-04-23T17:37:32Z,45.93952,-129.97848,1.417,0.3
2015-04-23T17:37:35Z,45.94061,-129.97915,1.415,0.3
2015-04-23T17:38:07Z,45.93938,-129.97825,1.631,0.6
2015-04-23T17:38:27Z,45.94145,-129.98469,0.063,0
2015-04-23T17:38:36Z,45.94049,-129.98215,1.214,0.4
2015-04-23T17:38:47Z,45.94101,-129.9793,1.368,0.2
2015-04-23T17:39:12Z,45.93904,-129.97754,1.202,0
2015-04-23T17:39:37Z,45.93981,-129.97846,1.581,0.5
2015-04-23T17:39:43Z,45.93962,-129.97692,1.618,0.7
2015-04-23T17:40:14Z,45.93948,-129.97812,1.514,0.5
2015-04-23T17:40:25Z,45.93965,-129.97761,1.679,1.5
2015-04-23T17:40:45Z,45.94038,-129.97901,1.775,0.9
2015-04-23T17:40:56Z,45.94418,-130.00341,0.267,0.5
2015-04-23T17:41:10Z,45.93989,-129.97732,1.8,0.8
2015-04-23T17:41:41Z,45.94115,-129.97929,1.25,0.3
2015-04-23T17:41:54Z,45.93897,-129.97246,2.176,0.3
2015-04-23T17:41:56Z,45.94151,-129.98346,0.674,0.4
2015-04-23T17:42:08Z,45.93824,-129.97721,1.34,0.4
2015-04-23T17:42:20Z,45.94094,-129.97924,1.306,0.5
2015-04-23T17:42:59Z,45.93914,-129.97863,1.474,0.4
2015-04-23T17:43:06Z,45.972,-129.99639,1.953,1.2
2015-04-23T17:44:00Z,45.94065,-129.97606,1.387,0.6
2015-04-23T17:44:17Z,45.93832,-129.97708,0.43,0
2015-04-23T17:44:24Z,45.94051,-129.97758,1.524,0
2015-04-23T17:44:45Z,45.94104,-129.98198,0.734,0.1
2015-04-23T17:45:34Z,45.93863,-129.97594,1.611,0.6
2015-04-23T17:46:03Z,45.9377,-129.97764,1.298,0.1
2015-04-23T17:46:34Z,45.94017,-129.97873,1.458,0.3
2015-04-23T17:46:41Z,45.93963,-129.97774,1.483,0.6
2015-04-23T17:46:44Z,45.97406,-129.99598,2.189,1.6
2015-04-23T17:48:00Z,45.94091,-129.98118,1.463,0.5
2015-04-23T17:48:02Z,45.97186,-129.9935,1.715,1.3
2015-04-23T17:48:24Z,45.97405,-129.99307,1.675,0.8
2015-04-23T17:48:47Z,45.97213,-129.99389,1.197,0.9
2015-04-23T17:49:11Z,45.96968,-129.98957,0.627,0.7
2015-04-23T17:50:10Z,45.93897,-129.97652,1.492,0.7
2015-04-23T17:50:27Z,45.97573,-129.98985,1.664,1.4
2015-04-23T17:51:24Z,45.97152,-129.99467,2.152,0.9
2015-04-23T17:51:36Z,45.93883,-129.97627,1.54,1.6
2015-04-23T17:52:13Z,45.96996,-129.99133,1.932,0.9
2015-04-23T17:52:25Z,45.93836,-129.97642,1.471,0.7
2015-04-23T17:52:33Z,45.96932,-129.99725,1.754,1.3
2015-04-23T17:53:01Z,45.93769,-129.9755,1.494,0.7
2015-04-23T17:53:09Z,45.96854,-129.99687,2.241,1.8
2015-04-23T17:53:42Z,45.96884,-129.99778,1.696,1.1
2015-04-23T17:54:32Z,45.97467,-129.99569,2.175,1.4
2015-04-23T17:55:04Z,45.93558,-129.97896,1.205,0.8
2015-04-23T17:55:45Z,45.94755,-129.98117,1.113,0.5
2015-04-23T17:55:53Z,45.96834,-129.98926,1.728,1.5
2015-04-23T17:56:54Z,45.96685,-129.99667,1.61,1.6
2015-04-23T17:57:27Z,45.98275,-129.99293,1.242,1.9
2015-04-23T17:58:40Z,45.97065,-129.99965,1.664,1.9
2015-04-23T18:01:56Z,45.97279,-129.99452,1.793,1.2
2015-04-23T18:02:11Z,46.00889,-129.99749,0.864,1.6
2015-04-23T18:03:02Z,45.96931,-129.99377,1.667,1
2015-04-23T18:03:12Z,45.9833,-129.99803,2.38,1.5
2015-04-23T18:04:45Z,45.9723,-129.98423,1.512,1.5
2015-04-23T18:05:22Z,45.98774,-130.01285,3.232,1.3
