Date,ID Temperature,EC Temperature,CC Temperature
1/20/15 16:00,3.2507397,3.3275119,2.8472429
1/20/15 17:00,3.2451853,3.3209443,2.8397706
1/20/15 18:00,3.2253056,3.3251214,2.8368136
1/20/15 19:00,3.209037,3.3365695,2.8232621
1/20/15 20:00,3.1993235,3.348389,2.8315941
1/20/15 21:00,3.2232099,3.3644701,2.8289261
1/20/15 22:00,3.243478,3.3618744,2.8404769
1/20/15 23:00,3.2422115,3.3564092,2.8558139
1/21/15 0:00,3.2395137,3.3606914,2.8466295
1/21/15 1:00,3.2550659,3.3631619,2.8518701
1/21/15 2:00,3.2686654,3.363943,2.856582
1/21/15 3:00,3.2827732,3.3593033,2.8605427
1/21/15 4:00,3.277164,3.3629469,2.8626752
1/21/15 5:00,3.2768574,3.3714457,2.8612496
1/21/15 6:00,3.2879209,3.3794299,2.8639127
1/21/15 7:00,3.2699014,3.3795675,2.8756134
1/21/15 8:00,3.2679165,3.3861071,2.8683115
1/21/15 9:00,3.2455347,3.3869656,2.8763602
1/21/15 10:00,3.2215498,3.3848737,2.8704108
1/21/15 11:00,3.2154998,3.3750891,2.8694851
1/21/15 12:00,3.2335529,3.3761455,2.8723975
1/21/15 13:00,3.2235928,3.3735107,2.8677505
1/21/15 14:00,3.2202025,3.3801837,2.8736481
1/21/15 15:00,3.2168184,3.3784836,2.8785599
1/21/15 16:00,3.2463215,3.3653691,2.8695165
1/21/15 17:00,3.2547358,3.3490291,2.8664525
1/21/15 18:00,3.2478018,3.3408735,2.8703408
1/21/15 19:00,3.2458618,3.3396727,2.8666112
1/21/15 20:00,3.247352,3.3544554,2.8685787
1/21/15 21:00,3.2340882,3.3341743,2.8735976
1/21/15 22:00,3.226724,3.3440698,2.8520806
1/21/15 23:00,3.2055985,3.3256591,2.8526253
1/22/15 0:00,3.2055899,3.3159287,2.8509119
1/22/15 1:00,3.2003857,3.2963387,2.8520521
1/22/15 2:00,3.2115769,3.2909557,2.8559203
1/22/15 3:00,3.2200291,3.2922523,2.8411615
1/22/15 4:00,3.2332855,3.2976698,2.8478708
1/22/15 5:00,3.2567583,3.3065313,2.8703051
1/22/15 6:00,3.2525666,3.3154996,2.8792994
1/22/15 7:00,3.2432264,3.3358479,2.8818007
1/22/15 8:00,3.2177161,3.3461199,2.8854453
1/22/15 9:00,3.19999,3.3499175,2.8629851
1/22/15 10:00,3.2166622,3.3476892,2.8589637
1/22/15 11:00,3.2270404,3.3494482,2.8662143
1/22/15 12:00,3.2133713,3.3580086,2.8662701
1/22/15 13:00,3.2082572,3.3726662,2.8581947
1/22/15 14:00,3.2114172,3.355338,2.8603342
1/22/15 15:00,3.219766,3.3056598,2.8286213
1/22/15 16:00,3.2256598,3.2804959,2.7986959
1/22/15 17:00,3.2142846,3.2693604,2.770862
1/22/15 18:00,3.2109964,3.2740102,2.7578591
1/22/15 19:00,3.191324,3.2685623,2.7571173
1/22/15 20:00,3.1775908,3.2640543,2.7686116
1/22/15 21:00,3.1726848,3.2778764,2.7991595
1/22/15 22:00,3.1727329,3.2907585,2.8135377
1/22/15 23:00,3.1838231,3.2862988,2.8144604
1/23/15 0:00,3.1717846,3.2759308,2.8090217
1/23/15 1:00,3.1596826,3.2710779,2.8050022
1/23/15 2:00,3.1625314,3.2674757,2.7920449
1/23/15 3:00,3.1691453,3.2612321,2.8167042
1/23/15 4:00,3.1857593,3.2729189,2.813189
1/23/15 5:00,3.1948573,3.3049162,2.8447416
1/23/15 6:00,3.2024821,3.3081874,2.8420599
1/23/15 7:00,3.2037,3.3170625,2.8459641
1/23/15 8:00,3.1962321,3.3039725,2.8529997
1/23/15 9:00,3.2268969,3.3096246,2.8677317
1/23/15 10:00,3.2258329,3.3388714,2.8693083
1/23/15 11:00,3.2100668,3.3352186,2.8659272
1/23/15 12:00,3.1994568,3.3358106,2.8376562
1/23/15 13:00,3.2067277,3.3355057,2.8415113
1/23/15 14:00,3.2120592,3.3426771,2.8328143
1/23/15 15:00,3.2199257,3.3483638,2.8235921
1/23/15 16:00,3.2292091,3.3463457,2.8355227
1/23/15 17:00,3.2344189,3.3564958,2.8314839
1/23/15 18:00,3.2360136,3.3620464,2.8170723
1/23/15 19:00,3.2454666,3.3871808,2.8115395
1/23/15 20:00,3.2485335,3.3758495,2.8151907
1/23/15 21:00,3.236343,3.3528691,2.8233428
1/23/15 22:00,3.2395361,3.3545438,2.8415369
1/23/15 23:00,3.2301001,3.355574,2.8328715
1/24/15 0:00,3.2236459,3.3541254,2.8178786
1/24/15 1:00,3.221589,3.3551371,2.8217411
1/24/15 2:00,3.2176194,3.3425033,2.8292923
1/24/15 3:00,3.2222334,3.3452383,2.8404131
1/24/15 4:00,3.2262576,3.3468046,2.8271529
1/24/15 5:00,3.2255237,3.3518324,2.8269556
1/24/15 6:00,3.2386806,3.3560136,2.8403574
1/24/15 7:00,3.2445325,3.3628445,2.8547158
1/24/15 8:00,3.2631013,3.3719662,2.8612522
1/24/15 9:00,3.2672905,3.3868774,2.8734987
1/24/15 10:00,3.2614307,3.3822914,2.8700933
1/24/15 11:00,3.2449226,3.3773721,2.8545396
1/24/15 12:00,3.2299363,3.3791539,2.8650227
1/24/15 13:00,3.2359996,3.3819791,2.8666771
1/24/15 14:00,3.2394531,3.3830033,2.8534875
1/24/15 15:00,3.2425038,3.3795286,2.8799467
1/24/15 16:00,3.2555887,3.3647891,2.8531734
1/24/15 17:00,3.2640301,3.3642741,2.8573547
1/24/15 18:00,3.2690747,3.3751592,2.8526784
1/24/15 19:00,3.2653027,3.3842831,2.8593655
1/24/15 20:00,3.2583714,3.3821207,2.854472
1/24/15 21:00,3.2530347,3.3635759,2.8618973
1/24/15 22:00,3.2562506,3.3685098,2.8928885
1/24/15 23:00,3.2394556,3.3803094,2.8609942
1/25/15 0:00,3.2261909,3.3715034,2.8654226
1/25/15 1:00,3.2230125,3.360159,2.8702651
1/25/15 2:00,3.2209069,3.3536187,2.8669692
1/25/15 3:00,3.2191493,3.3448353,2.8640711
1/25/15 4:00,3.2249273,3.3387599,2.8629394
1/25/15 5:00,3.2349486,3.350265,2.8676528
1/25/15 6:00,3.2437887,3.3593626,2.8707895
1/25/15 7:00,3.2495397,3.3583555,2.8667912
1/25/15 8:00,3.251367,3.3919368,2.8928739
1/25/15 9:00,3.2503827,3.3851015,2.876734
1/25/15 10:00,3.2543646,3.3972306,2.8795414
1/25/15 11:00,3.2641383,3.3737047,2.8685007
1/25/15 12:00,3.2475304,3.3649614,2.8665755
1/25/15 13:00,3.2310579,3.3705017,2.8613452
1/25/15 14:00,3.2340064,3.3823591,2.8616707
1/25/15 15:00,3.2184796,3.3576376,2.8681823
1/25/15 16:00,3.2189195,3.3715008,2.8724347
1/25/15 17:00,3.2220104,3.3762671,2.8795982
1/25/15 18:00,3.2328466,3.3792001,2.8694302
1/25/15 19:00,3.2452991,3.3804124,2.8662632
1/25/15 20:00,3.2502235,3.3886459,2.8577116
1/25/15 21:00,3.2541288,3.3783787,2.855545
1/25/15 22:00,3.2627257,3.3641031,2.8567518
1/25/15 23:00,3.2605226,3.3465252,2.8594762
1/26/15 0:00,3.2663743,3.3374257,2.8680764
1/26/15 1:00,3.2631967,3.3326084,2.8697036
1/26/15 2:00,3.2530218,3.3458852,2.8733467
1/26/15 3:00,3.2306369,3.344061,2.8794685
