Date,Offset Depth (m),Threshold
5/8/98,0.33838,3.3
5/9/98,0.37305,3.3
5/10/98,0.35669,3.3
5/11/98,0.35449,3.3
5/12/98,0.38,3.3
5/13/98,0.38013,3.3
5/14/98,0.36987,3.3
5/15/98,0.36157,3.3
5/16/98,0.36536,3.3
5/17/98,0.35205,3.3
5/18/98,0.34766,3.3
5/19/98,0.36951,3.3
5/20/98,0.37048,3.3
5/21/98,0.37073,3.3
5/22/98,0.40063,3.3
5/23/98,0.39783,3.3
5/24/98,0.38538,3.3
5/25/98,0.38,3.3
5/26/98,0.39795,3.3
5/27/98,0.39685,3.3
5/28/98,0.37317,3.3
5/29/98,0.36316,3.3
5/30/98,0.35339,3.3
5/31/98,0.35535,3.3
6/1/98,0.36658,3.3
6/2/98,0.37524,3.3
6/3/98,0.37964,3.3
6/4/98,0.38989,3.3
6/5/98,0.39099,3.3
6/6/98,0.38232,3.3
6/7/98,0.37952,3.3
6/8/98,0.38623,3.3
6/9/98,0.40881,3.3
6/10/98,0.40832,3.3
6/11/98,0.38855,3.3
6/12/98,0.37353,3.3
6/13/98,0.36938,3.3
6/14/98,0.37366,3.3
6/15/98,0.40137,3.3
6/16/98,0.42053,3.3
6/17/98,0.42493,3.3
6/18/98,0.41333,3.3
6/19/98,0.43335,3.3
6/20/98,0.43359,3.3
6/21/98,0.42786,3.3
6/22/98,0.40894,3.3
6/23/98,0.40967,3.3
6/24/98,0.41894,3.3
6/25/98,0.41968,3.3
6/26/98,0.41821,3.3
6/27/98,0.4231,3.3
6/28/98,0.42847,3.3
6/29/98,0.422,3.3
6/30/98,0.4303,3.3
7/1/98,0.43603,3.3
7/2/98,0.43262,3.3
7/3/98,0.42554,3.3
7/4/98,0.422,3.3
7/5/98,0.42346,3.3
7/6/98,0.43286,3.3
7/7/98,0.41101,3.3
7/8/98,0.39978,3.3
7/9/98,0.42297,3.3
7/10/98,0.43665,3.3
7/11/98,0.44568,3.3
7/12/98,0.45593,3.3
7/13/98,0.46814,3.3
7/14/98,0.45959,3.3
7/15/98,0.46924,3.3
7/16/98,0.47461,3.3
7/17/98,0.46741,3.3
7/18/98,0.46789,3.3
7/19/98,0.45264,3.3
7/20/98,0.43652,3.3
7/21/98,0.43152,3.3
7/22/98,0.44641,3.3
7/23/98,0.46118,3.3
7/24/98,0.45679,3.3
7/25/98,0.4646,3.3
7/26/98,0.45813,3.3
7/27/98,0.46558,3.3
7/28/98,0.4845,3.3
7/29/98,0.48157,3.3
7/30/98,0.47864,3.3
7/31/98,0.46582,3.3
8/1/98,0.46631,3.3
8/2/98,0.45679,3.3
8/3/98,0.4585,3.3
7/9/00,1.451,3.3
7/10/00,1.486,3.3
7/11/00,1.46,3.3
7/12/00,1.425,3.3
7/13/00,1.414,3.3
7/14/00,1.4169,3.3
7/15/00,1.437,3.3
7/16/00,1.452,3.3
7/17/00,1.44,3.3
7/18/00,1.4329,3.3
7/19/00,1.452,3.3
7/20/00,1.466,3.3
7/21/00,1.461,3.3
7/22/00,1.465,3.3
7/23/00,1.473,3.3
7/24/00,1.465,3.3
7/25/00,1.465,3.3
7/26/00,1.484,3.3
7/27/00,1.484,3.3
7/28/00,1.4639,3.3
7/29/00,1.4639,3.3
7/30/00,1.478,3.3
7/31/00,1.479,3.3
8/1/00,1.479,3.3
8/2/00,1.4899,3.3
8/3/00,1.496,3.3
8/4/00,1.483,3.3
8/5/00,1.471,3.3
8/6/00,1.473,3.3
8/7/00,1.472,3.3
